DATE,FLBROW5POP
1970-01-01,620.100
1971-01-01,668.200
1972-01-01,709.600
1973-01-01,767.200
1974-01-01,840.600
1975-01-01,869.200
1976-01-01,884.700
1977-01-01,907.000
1978-01-01,942.600
1979-01-01,986.400
1980-01-01,1018.257
1981-01-01,1055.347
1982-01-01,1076.762
1983-01-01,1095.086
1984-01-01,1110.862
1985-01-01,1132.921
1986-01-01,1154.494
1987-01-01,1180.921
1988-01-01,1208.428
1989-01-01,1233.040
1990-01-01,1263.301
1991-01-01,1296.261
1992-01-01,1325.375
1993-01-01,1372.526
1994-01-01,1412.641
1995-01-01,1447.124
1996-01-01,1481.333
1997-01-01,1522.179
1998-01-01,1560.649
1999-01-01,1594.130
2000-01-01,1631.583
2001-01-01,1667.603
2002-01-01,1698.592
2003-01-01,1719.624
2004-01-01,1741.199
2005-01-01,1766.352
2006-01-01,1761.685
2007-01-01,1746.134
2008-01-01,1752.910
2009-01-01,1765.530
2010-01-01,1752.843
2011-01-01,1787.096
2012-01-01,1814.468
2013-01-01,1836.869
2014-01-01,1861.259
2015-01-01,1885.435
2016-01-01,1913.78
2017-01-01,1935.945
2018-01-01,1948.058
2019-01-01,1955.475
2020-01-01,1958.105
