,DATE,Housing Price Index,Hurricane,Hurricane Date,Location,Housing Month,Delta
25,2001-01-01,106.24,Ike,2008-09-13,Galveston,1,-7
26,2002-01-01,111.09,Ike,2008-09-13,Galveston,1,-6
27,2003-01-01,114.99,Ike,2008-09-13,Galveston,1,-5
28,2004-01-01,120.79,Ike,2008-09-13,Galveston,1,-4
29,2005-01-01,129.75,Ike,2008-09-13,Galveston,1,-3
30,2006-01-01,139.7,Ike,2008-09-13,Galveston,1,-2
31,2007-01-01,142.41,Ike,2008-09-13,Galveston,1,-1
32,2008-01-01,141.63,Ike,2008-09-13,Galveston,1,0
33,2009-01-01,142.58,Ike,2008-09-13,Galveston,1,0
34,2010-01-01,137.72,Ike,2008-09-13,Galveston,1,1
35,2011-01-01,136.01,Ike,2008-09-13,Galveston,1,2
36,2012-01-01,139.07,Ike,2008-09-13,Galveston,1,3
37,2013-01-01,142.99,Ike,2008-09-13,Galveston,1,4
38,2014-01-01,153.11,Ike,2008-09-13,Galveston,1,5
39,2015-01-01,165.22,Ike,2008-09-13,Galveston,1,6
40,2016-01-01,177.74,Ike,2008-09-13,Galveston,1,7
41,2017-01-01,189.95,Ike,2008-09-13,Galveston,1,8
42,2018-01-01,203.66,Ike,2008-09-13,Galveston,1,9
43,2019-01-01,211.47,Ike,2008-09-13,Galveston,1,10
44,2020-01-01,221.48,Ike,2008-09-13,Galveston,1,11
