,DATE,Unemployment,Hurricane,Hurricane Date,Location,Delta
132,2001-01-01,4.7,Ike,2008-09-13,Galveston,-7.704109589041096
133,2001-02-01,4.2,Ike,2008-09-13,Galveston,-7.619178082191781
134,2001-03-01,4.5,Ike,2008-09-13,Galveston,-7.542465753424658
135,2001-04-01,4.4,Ike,2008-09-13,Galveston,-7.457534246575342
136,2001-05-01,4.6,Ike,2008-09-13,Galveston,-7.375342465753425
137,2001-06-01,5.7,Ike,2008-09-13,Galveston,-7.2904109589041095
138,2001-07-01,5.6,Ike,2008-09-13,Galveston,-7.208219178082191
139,2001-08-01,6.0,Ike,2008-09-13,Galveston,-7.123287671232877
140,2001-09-01,5.6,Ike,2008-09-13,Galveston,-7.038356164383561
141,2001-10-01,5.6,Ike,2008-09-13,Galveston,-6.956164383561644
142,2001-11-01,5.7,Ike,2008-09-13,Galveston,-6.8712328767123285
143,2001-12-01,5.7,Ike,2008-09-13,Galveston,-6.789041095890411
144,2002-01-01,6.3,Ike,2008-09-13,Galveston,-6.704109589041096
145,2002-02-01,5.8,Ike,2008-09-13,Galveston,-6.619178082191781
146,2002-03-01,5.8,Ike,2008-09-13,Galveston,-6.542465753424658
147,2002-04-01,6.1,Ike,2008-09-13,Galveston,-6.457534246575342
148,2002-05-01,6.3,Ike,2008-09-13,Galveston,-6.375342465753425
149,2002-06-01,7.4,Ike,2008-09-13,Galveston,-6.2904109589041095
150,2002-07-01,7.3,Ike,2008-09-13,Galveston,-6.208219178082191
151,2002-08-01,7.1,Ike,2008-09-13,Galveston,-6.123287671232877
152,2002-09-01,6.7,Ike,2008-09-13,Galveston,-6.038356164383561
153,2002-10-01,6.2,Ike,2008-09-13,Galveston,-5.956164383561644
154,2002-11-01,6.5,Ike,2008-09-13,Galveston,-5.8712328767123285
155,2002-12-01,6.4,Ike,2008-09-13,Galveston,-5.789041095890411
156,2003-01-01,7.1,Ike,2008-09-13,Galveston,-5.704109589041096
157,2003-02-01,6.9,Ike,2008-09-13,Galveston,-5.619178082191781
158,2003-03-01,6.9,Ike,2008-09-13,Galveston,-5.542465753424658
159,2003-04-01,6.7,Ike,2008-09-13,Galveston,-5.457534246575342
160,2003-05-01,7.1,Ike,2008-09-13,Galveston,-5.375342465753425
161,2003-06-01,8.1,Ike,2008-09-13,Galveston,-5.2904109589041095
162,2003-07-01,7.9,Ike,2008-09-13,Galveston,-5.208219178082191
163,2003-08-01,7.7,Ike,2008-09-13,Galveston,-5.123287671232877
164,2003-09-01,7.4,Ike,2008-09-13,Galveston,-5.038356164383561
165,2003-10-01,6.9,Ike,2008-09-13,Galveston,-4.956164383561644
166,2003-11-01,7.0,Ike,2008-09-13,Galveston,-4.8712328767123285
167,2003-12-01,6.5,Ike,2008-09-13,Galveston,-4.789041095890411
168,2004-01-01,7.1,Ike,2008-09-13,Galveston,-4.704109589041096
169,2004-02-01,6.8,Ike,2008-09-13,Galveston,-4.619178082191781
170,2004-03-01,7.1,Ike,2008-09-13,Galveston,-4.53972602739726
171,2004-04-01,6.5,Ike,2008-09-13,Galveston,-4.454794520547945
172,2004-05-01,6.7,Ike,2008-09-13,Galveston,-4.372602739726028
173,2004-06-01,7.4,Ike,2008-09-13,Galveston,-4.287671232876712
174,2004-07-01,7.3,Ike,2008-09-13,Galveston,-4.205479452054795
175,2004-08-01,6.9,Ike,2008-09-13,Galveston,-4.120547945205479
176,2004-09-01,6.6,Ike,2008-09-13,Galveston,-4.035616438356165
177,2004-10-01,6.5,Ike,2008-09-13,Galveston,-3.9534246575342467
178,2004-11-01,6.6,Ike,2008-09-13,Galveston,-3.8684931506849316
179,2004-12-01,6.5,Ike,2008-09-13,Galveston,-3.786301369863014
180,2005-01-01,6.3,Ike,2008-09-13,Galveston,-3.7013698630136984
181,2005-02-01,6.1,Ike,2008-09-13,Galveston,-3.6164383561643834
182,2005-03-01,5.6,Ike,2008-09-13,Galveston,-3.5397260273972604
183,2005-04-01,5.5,Ike,2008-09-13,Galveston,-3.4547945205479453
184,2005-05-01,5.6,Ike,2008-09-13,Galveston,-3.372602739726027
185,2005-06-01,6.1,Ike,2008-09-13,Galveston,-3.287671232876712
186,2005-07-01,6.0,Ike,2008-09-13,Galveston,-3.2054794520547945
187,2005-08-01,5.9,Ike,2008-09-13,Galveston,-3.1205479452054794
188,2005-09-01,6.0,Ike,2008-09-13,Galveston,-3.0356164383561643
189,2005-10-01,5.6,Ike,2008-09-13,Galveston,-2.9534246575342467
190,2005-11-01,5.7,Ike,2008-09-13,Galveston,-2.8684931506849316
191,2005-12-01,5.2,Ike,2008-09-13,Galveston,-2.786301369863014
192,2006-01-01,5.4,Ike,2008-09-13,Galveston,-2.7013698630136984
193,2006-02-01,5.4,Ike,2008-09-13,Galveston,-2.6164383561643834
194,2006-03-01,5.2,Ike,2008-09-13,Galveston,-2.5397260273972604
195,2006-04-01,5.1,Ike,2008-09-13,Galveston,-2.4547945205479453
196,2006-05-01,5.3,Ike,2008-09-13,Galveston,-2.372602739726027
197,2006-06-01,5.9,Ike,2008-09-13,Galveston,-2.287671232876712
198,2006-07-01,5.9,Ike,2008-09-13,Galveston,-2.2054794520547945
199,2006-08-01,5.5,Ike,2008-09-13,Galveston,-2.1205479452054794
200,2006-09-01,5.1,Ike,2008-09-13,Galveston,-2.0356164383561643
201,2006-10-01,4.6,Ike,2008-09-13,Galveston,-1.9534246575342467
202,2006-11-01,4.6,Ike,2008-09-13,Galveston,-1.8684931506849316
203,2006-12-01,4.3,Ike,2008-09-13,Galveston,-1.7863013698630137
204,2007-01-01,5.0,Ike,2008-09-13,Galveston,-1.7013698630136986
205,2007-02-01,4.8,Ike,2008-09-13,Galveston,-1.6164383561643836
206,2007-03-01,4.4,Ike,2008-09-13,Galveston,-1.5397260273972602
207,2007-04-01,4.2,Ike,2008-09-13,Galveston,-1.4547945205479451
208,2007-05-01,4.3,Ike,2008-09-13,Galveston,-1.3726027397260274
209,2007-06-01,5.0,Ike,2008-09-13,Galveston,-1.2876712328767124
210,2007-07-01,5.3,Ike,2008-09-13,Galveston,-1.2054794520547945
211,2007-08-01,4.8,Ike,2008-09-13,Galveston,-1.1205479452054794
212,2007-09-01,4.8,Ike,2008-09-13,Galveston,-1.0356164383561643
213,2007-10-01,4.2,Ike,2008-09-13,Galveston,-0.9534246575342465
214,2007-11-01,4.4,Ike,2008-09-13,Galveston,-0.8684931506849315
215,2007-12-01,4.7,Ike,2008-09-13,Galveston,-0.7863013698630137
216,2008-01-01,5.0,Ike,2008-09-13,Galveston,-0.7013698630136986
217,2008-02-01,4.7,Ike,2008-09-13,Galveston,-0.6164383561643836
218,2008-03-01,4.6,Ike,2008-09-13,Galveston,-0.536986301369863
219,2008-04-01,4.3,Ike,2008-09-13,Galveston,-0.4520547945205479
220,2008-05-01,4.8,Ike,2008-09-13,Galveston,-0.3698630136986301
221,2008-06-01,5.4,Ike,2008-09-13,Galveston,-0.28493150684931506
222,2008-07-01,5.7,Ike,2008-09-13,Galveston,-0.20273972602739726
223,2008-08-01,5.6,Ike,2008-09-13,Galveston,-0.1178082191780822
224,2008-09-01,5.7,Ike,2008-09-13,Galveston,-0.03287671232876712
225,2008-10-01,7.6,Ike,2008-09-13,Galveston,0.049315068493150684
226,2008-11-01,7.2,Ike,2008-09-13,Galveston,0.13424657534246576
227,2008-12-01,7.2,Ike,2008-09-13,Galveston,0.21643835616438356
228,2009-01-01,7.9,Ike,2008-09-13,Galveston,0.3013698630136986
229,2009-02-01,8.0,Ike,2008-09-13,Galveston,0.3863013698630137
230,2009-03-01,7.4,Ike,2008-09-13,Galveston,0.46301369863013697
231,2009-04-01,6.4,Ike,2008-09-13,Galveston,0.547945205479452
232,2009-05-01,7.5,Ike,2008-09-13,Galveston,0.6301369863013698
233,2009-06-01,8.7,Ike,2008-09-13,Galveston,0.7150684931506849
234,2009-07-01,9.0,Ike,2008-09-13,Galveston,0.7972602739726027
235,2009-08-01,8.6,Ike,2008-09-13,Galveston,0.8821917808219178
236,2009-09-01,8.6,Ike,2008-09-13,Galveston,0.9671232876712329
237,2009-10-01,8.5,Ike,2008-09-13,Galveston,1.0493150684931507
238,2009-11-01,8.6,Ike,2008-09-13,Galveston,1.1342465753424658
239,2009-12-01,8.9,Ike,2008-09-13,Galveston,1.2164383561643837
240,2010-01-01,9.6,Ike,2008-09-13,Galveston,1.3013698630136987
241,2010-02-01,9.3,Ike,2008-09-13,Galveston,1.3863013698630138
