,DATE,Housing Price Index,Hurricane,Hurricane Date,Location,Delta
24,2001-01-01,104.53,Ivan,2004-09-04,"Pensacola, FL",-3
25,2002-01-01,108.5,Ivan,2004-09-04,"Pensacola, FL",-2
26,2003-01-01,111.93,Ivan,2004-09-04,"Pensacola, FL",-1
27,2004-01-01,123.11,Ivan,2004-09-04,"Pensacola, FL",0
28,2005-01-01,153.88,Ivan,2004-09-04,"Pensacola, FL",0
29,2006-01-01,167.66,Ivan,2004-09-04,"Pensacola, FL",1
30,2007-01-01,162.43,Ivan,2004-09-04,"Pensacola, FL",2
31,2008-01-01,149.13,Ivan,2004-09-04,"Pensacola, FL",3
32,2009-01-01,136.21,Ivan,2004-09-04,"Pensacola, FL",4
33,2010-01-01,126.95,Ivan,2004-09-04,"Pensacola, FL",5
34,2011-01-01,120.28,Ivan,2004-09-04,"Pensacola, FL",6
35,2012-01-01,115.92,Ivan,2004-09-04,"Pensacola, FL",7
36,2013-01-01,119.25,Ivan,2004-09-04,"Pensacola, FL",8
37,2014-01-01,125.18,Ivan,2004-09-04,"Pensacola, FL",9
38,2015-01-01,131.62,Ivan,2004-09-04,"Pensacola, FL",10
39,2016-01-01,140.54,Ivan,2004-09-04,"Pensacola, FL",11
40,2017-01-01,151.63,Ivan,2004-09-04,"Pensacola, FL",12
41,2018-01-01,163.77,Ivan,2004-09-04,"Pensacola, FL",13
42,2019-01-01,172.51,Ivan,2004-09-04,"Pensacola, FL",14
43,2020-01-01,185.32,Ivan,2004-09-04,"Pensacola, FL",15
