,DATE,New Private Housing Structures Authorized,Hurricane,Hurricane Date,Location,Housing Auth Month,Delta
44,2001-01-01,6555,Ivan,2004-09-04,"Pensacola, FL",1,-3
45,2001-04-01,6645,Ivan,2004-09-04,"Pensacola, FL",4,-3
46,2001-07-01,6660,Ivan,2004-09-04,"Pensacola, FL",7,-3
47,2001-10-01,6665,Ivan,2004-09-04,"Pensacola, FL",10,-2
48,2002-01-01,6706,Ivan,2004-09-04,"Pensacola, FL",1,-2
49,2002-04-01,6801,Ivan,2004-09-04,"Pensacola, FL",4,-2
50,2002-07-01,6810,Ivan,2004-09-04,"Pensacola, FL",7,-2
51,2002-10-01,6833,Ivan,2004-09-04,"Pensacola, FL",10,-1
52,2003-01-01,6967,Ivan,2004-09-04,"Pensacola, FL",1,-1
53,2003-04-01,6902,Ivan,2004-09-04,"Pensacola, FL",4,-1
54,2003-07-01,6936,Ivan,2004-09-04,"Pensacola, FL",7,-1
55,2003-10-01,6936,Ivan,2004-09-04,"Pensacola, FL",10,0
56,2004-01-01,7231,Ivan,2004-09-04,"Pensacola, FL",1,0
57,2004-04-01,7269,Ivan,2004-09-04,"Pensacola, FL",4,0
58,2004-07-01,7296,Ivan,2004-09-04,"Pensacola, FL",7,0
59,2004-10-01,7308,Ivan,2004-09-04,"Pensacola, FL",10,0
60,2005-01-01,7366,Ivan,2004-09-04,"Pensacola, FL",1,0
61,2005-04-01,7430,Ivan,2004-09-04,"Pensacola, FL",4,0
62,2005-07-01,7463,Ivan,2004-09-04,"Pensacola, FL",7,0
63,2005-10-01,7454,Ivan,2004-09-04,"Pensacola, FL",10,1
64,2006-01-01,7642,Ivan,2004-09-04,"Pensacola, FL",1,1
65,2006-04-01,7652,Ivan,2004-09-04,"Pensacola, FL",4,1
66,2006-07-01,7700,Ivan,2004-09-04,"Pensacola, FL",7,1
67,2006-10-01,7690,Ivan,2004-09-04,"Pensacola, FL",10,2
68,2007-01-01,7809,Ivan,2004-09-04,"Pensacola, FL",1,2
69,2007-04-01,7815,Ivan,2004-09-04,"Pensacola, FL",4,2
70,2007-07-01,7830,Ivan,2004-09-04,"Pensacola, FL",7,2
71,2007-10-01,7837,Ivan,2004-09-04,"Pensacola, FL",10,3
72,2008-01-01,7974,Ivan,2004-09-04,"Pensacola, FL",1,3
73,2008-04-01,7953,Ivan,2004-09-04,"Pensacola, FL",4,3
74,2008-07-01,7955,Ivan,2004-09-04,"Pensacola, FL",7,3
75,2008-10-01,7912,Ivan,2004-09-04,"Pensacola, FL",10,4
