,DATE,Median,Hurricane,Hurricane Date,Location,Hurricane Year,Median Income Year,Delta
12,2001-01-01,34160,Ivan,2004-09-04,"Pensacola, FL",2004,2001,-3
13,2002-01-01,34528,Ivan,2004-09-04,"Pensacola, FL",2004,2002,-2
14,2003-01-01,35347,Ivan,2004-09-04,"Pensacola, FL",2004,2003,-1
15,2004-01-01,36743,Ivan,2004-09-04,"Pensacola, FL",2004,2004,0
16,2005-01-01,39830,Ivan,2004-09-04,"Pensacola, FL",2004,2005,0
17,2006-01-01,41923,Ivan,2004-09-04,"Pensacola, FL",2004,2006,1
18,2007-01-01,41772,Ivan,2004-09-04,"Pensacola, FL",2004,2007,2
19,2008-01-01,41690,Ivan,2004-09-04,"Pensacola, FL",2004,2008,3
20,2009-01-01,40794,Ivan,2004-09-04,"Pensacola, FL",2004,2009,4
21,2010-01-01,41428,Ivan,2004-09-04,"Pensacola, FL",2004,2010,5
22,2011-01-01,41072,Ivan,2004-09-04,"Pensacola, FL",2004,2011,6
23,2012-01-01,44539,Ivan,2004-09-04,"Pensacola, FL",2004,2012,7
24,2013-01-01,42742,Ivan,2004-09-04,"Pensacola, FL",2004,2013,8
25,2014-01-01,46139,Ivan,2004-09-04,"Pensacola, FL",2004,2014,9
26,2015-01-01,45735,Ivan,2004-09-04,"Pensacola, FL",2004,2015,10
27,2016-01-01,45004,Ivan,2004-09-04,"Pensacola, FL",2004,2016,11
28,2017-01-01,48289,Ivan,2004-09-04,"Pensacola, FL",2004,2017,12
29,2018-01-01,50644,Ivan,2004-09-04,"Pensacola, FL",2004,2018,13
30,2019-01-01,52822,Ivan,2004-09-04,"Pensacola, FL",2004,2019,14
31,2020-01-01,57089,Ivan,2004-09-04,"Pensacola, FL",2004,2020,15
