,DATE,Population,Hurricane,Hurricane Date,Location,Hurricane Year,Population Year,Delta
31,2001-01-01,298.52,Ivan,2004-09-04,"Pensacola, FL",2004,2001,-3
32,2002-01-01,298.822,Ivan,2004-09-04,"Pensacola, FL",2004,2002,-2
33,2003-01-01,298.309,Ivan,2004-09-04,"Pensacola, FL",2004,2003,-1
34,2004-01-01,299.816,Ivan,2004-09-04,"Pensacola, FL",2004,2004,0
35,2005-01-01,300.237,Ivan,2004-09-04,"Pensacola, FL",2004,2005,1
36,2006-01-01,302.904,Ivan,2004-09-04,"Pensacola, FL",2004,2006,2
37,2007-01-01,299.911,Ivan,2004-09-04,"Pensacola, FL",2004,2007,3
38,2008-01-01,300.105,Ivan,2004-09-04,"Pensacola, FL",2004,2008,4
39,2009-01-01,300.777,Ivan,2004-09-04,"Pensacola, FL",2004,2009,5
40,2010-01-01,298.069,Ivan,2004-09-04,"Pensacola, FL",2004,2010,6
41,2011-01-01,299.478,Ivan,2004-09-04,"Pensacola, FL",2004,2011,7
42,2012-01-01,303.556,Ivan,2004-09-04,"Pensacola, FL",2004,2012,8
43,2013-01-01,306.879,Ivan,2004-09-04,"Pensacola, FL",2004,2013,9
44,2014-01-01,308.2,Ivan,2004-09-04,"Pensacola, FL",2004,2014,10
45,2015-01-01,309.63,Ivan,2004-09-04,"Pensacola, FL",2004,2015,11
46,2016-01-01,311.975,Ivan,2004-09-04,"Pensacola, FL",2004,2016,12
47,2017-01-01,313.882,Ivan,2004-09-04,"Pensacola, FL",2004,2017,13
48,2018-01-01,315.857,Ivan,2004-09-04,"Pensacola, FL",2004,2018,14
49,2019-01-01,319.379,Ivan,2004-09-04,"Pensacola, FL",2004,2019,15
50,2020-01-01,322.364,Ivan,2004-09-04,"Pensacola, FL",2004,2020,16
