,DATE,RealGDP,Hurricane,Hurricane Date,Location,Hurricane Year,Real GDP Year,Delta
0,2001-01-01,11899359,Ivan,2004-09-04,"Pensacola, FL",2004,2001,-3
1,2002-01-01,12011233,Ivan,2004-09-04,"Pensacola, FL",2004,2002,-2
2,2003-01-01,12303533,Ivan,2004-09-04,"Pensacola, FL",2004,2003,-1
3,2004-01-01,12727406,Ivan,2004-09-04,"Pensacola, FL",2004,2004,0
4,2005-01-01,13075054,Ivan,2004-09-04,"Pensacola, FL",2004,2005,0
5,2006-01-01,13359533,Ivan,2004-09-04,"Pensacola, FL",2004,2006,1
6,2007-01-01,13543315,Ivan,2004-09-04,"Pensacola, FL",2004,2007,2
7,2008-01-01,13095372,Ivan,2004-09-04,"Pensacola, FL",2004,2008,3
8,2009-01-01,12542269,Ivan,2004-09-04,"Pensacola, FL",2004,2009,4
9,2010-01-01,12663998,Ivan,2004-09-04,"Pensacola, FL",2004,2010,5
10,2011-01-01,12687111,Ivan,2004-09-04,"Pensacola, FL",2004,2011,6
11,2012-01-01,12550935,Ivan,2004-09-04,"Pensacola, FL",2004,2012,7
12,2013-01-01,12818995,Ivan,2004-09-04,"Pensacola, FL",2004,2013,8
13,2014-01-01,12876980,Ivan,2004-09-04,"Pensacola, FL",2004,2014,9
14,2015-01-01,13299380,Ivan,2004-09-04,"Pensacola, FL",2004,2015,10
15,2016-01-01,13629749,Ivan,2004-09-04,"Pensacola, FL",2004,2016,11
16,2017-01-01,14039634,Ivan,2004-09-04,"Pensacola, FL",2004,2017,12
17,2018-01-01,13977767,Ivan,2004-09-04,"Pensacola, FL",2004,2018,13
18,2019-01-01,14286019,Ivan,2004-09-04,"Pensacola, FL",2004,2019,14
19,2020-01-01,14144123,Ivan,2004-09-04,"Pensacola, FL",2004,2020,15
