,DATE,Unemployment,Hurricane,Hurricane Date,Location,Delta
132,2001-01-01,5.3,Ivan,2004-09-04,"Pensacola, FL",-3.6767123287671235
133,2001-02-01,4.9,Ivan,2004-09-04,"Pensacola, FL",-3.591780821917808
134,2001-03-01,4.7,Ivan,2004-09-04,"Pensacola, FL",-3.515068493150685
135,2001-04-01,4.6,Ivan,2004-09-04,"Pensacola, FL",-3.43013698630137
136,2001-05-01,4.4,Ivan,2004-09-04,"Pensacola, FL",-3.347945205479452
137,2001-06-01,5.1,Ivan,2004-09-04,"Pensacola, FL",-3.263013698630137
138,2001-07-01,4.9,Ivan,2004-09-04,"Pensacola, FL",-3.180821917808219
139,2001-08-01,4.8,Ivan,2004-09-04,"Pensacola, FL",-3.095890410958904
140,2001-09-01,4.7,Ivan,2004-09-04,"Pensacola, FL",-3.010958904109589
141,2001-10-01,5.0,Ivan,2004-09-04,"Pensacola, FL",-2.9287671232876713
142,2001-11-01,5.1,Ivan,2004-09-04,"Pensacola, FL",-2.8438356164383563
143,2001-12-01,5.0,Ivan,2004-09-04,"Pensacola, FL",-2.7616438356164386
144,2002-01-01,5.3,Ivan,2004-09-04,"Pensacola, FL",-2.6767123287671235
145,2002-02-01,5.0,Ivan,2004-09-04,"Pensacola, FL",-2.591780821917808
146,2002-03-01,4.8,Ivan,2004-09-04,"Pensacola, FL",-2.515068493150685
147,2002-04-01,4.8,Ivan,2004-09-04,"Pensacola, FL",-2.43013698630137
148,2002-05-01,4.7,Ivan,2004-09-04,"Pensacola, FL",-2.347945205479452
149,2002-06-01,5.2,Ivan,2004-09-04,"Pensacola, FL",-2.263013698630137
150,2002-07-01,5.1,Ivan,2004-09-04,"Pensacola, FL",-2.180821917808219
151,2002-08-01,4.8,Ivan,2004-09-04,"Pensacola, FL",-2.095890410958904
152,2002-09-01,4.6,Ivan,2004-09-04,"Pensacola, FL",-2.010958904109589
153,2002-10-01,4.5,Ivan,2004-09-04,"Pensacola, FL",-1.9287671232876713
154,2002-11-01,4.6,Ivan,2004-09-04,"Pensacola, FL",-1.8438356164383563
155,2002-12-01,4.4,Ivan,2004-09-04,"Pensacola, FL",-1.7616438356164383
156,2003-01-01,5.1,Ivan,2004-09-04,"Pensacola, FL",-1.6767123287671233
157,2003-02-01,4.7,Ivan,2004-09-04,"Pensacola, FL",-1.5917808219178082
158,2003-03-01,4.3,Ivan,2004-09-04,"Pensacola, FL",-1.515068493150685
159,2003-04-01,4.1,Ivan,2004-09-04,"Pensacola, FL",-1.4301369863013698
160,2003-05-01,4.2,Ivan,2004-09-04,"Pensacola, FL",-1.347945205479452
161,2003-06-01,4.8,Ivan,2004-09-04,"Pensacola, FL",-1.263013698630137
162,2003-07-01,4.6,Ivan,2004-09-04,"Pensacola, FL",-1.180821917808219
163,2003-08-01,4.4,Ivan,2004-09-04,"Pensacola, FL",-1.095890410958904
164,2003-09-01,4.2,Ivan,2004-09-04,"Pensacola, FL",-1.010958904109589
165,2003-10-01,4.0,Ivan,2004-09-04,"Pensacola, FL",-0.9287671232876712
166,2003-11-01,4.0,Ivan,2004-09-04,"Pensacola, FL",-0.8438356164383561
167,2003-12-01,3.7,Ivan,2004-09-04,"Pensacola, FL",-0.7616438356164383
168,2004-01-01,4.2,Ivan,2004-09-04,"Pensacola, FL",-0.6767123287671233
169,2004-02-01,3.9,Ivan,2004-09-04,"Pensacola, FL",-0.5917808219178082
170,2004-03-01,3.7,Ivan,2004-09-04,"Pensacola, FL",-0.5123287671232877
171,2004-04-01,3.5,Ivan,2004-09-04,"Pensacola, FL",-0.4273972602739726
172,2004-05-01,3.6,Ivan,2004-09-04,"Pensacola, FL",-0.3452054794520548
173,2004-06-01,4.2,Ivan,2004-09-04,"Pensacola, FL",-0.2602739726027397
174,2004-07-01,4.0,Ivan,2004-09-04,"Pensacola, FL",-0.1780821917808219
175,2004-08-01,3.8,Ivan,2004-09-04,"Pensacola, FL",-0.09315068493150686
176,2004-09-01,3.6,Ivan,2004-09-04,"Pensacola, FL",-0.00821917808219178
177,2004-10-01,5.1,Ivan,2004-09-04,"Pensacola, FL",0.07397260273972603
178,2004-11-01,4.4,Ivan,2004-09-04,"Pensacola, FL",0.1589041095890411
179,2004-12-01,3.9,Ivan,2004-09-04,"Pensacola, FL",0.2410958904109589
180,2005-01-01,4.1,Ivan,2004-09-04,"Pensacola, FL",0.32602739726027397
181,2005-02-01,3.7,Ivan,2004-09-04,"Pensacola, FL",0.410958904109589
182,2005-03-01,3.1,Ivan,2004-09-04,"Pensacola, FL",0.4876712328767123
183,2005-04-01,2.9,Ivan,2004-09-04,"Pensacola, FL",0.5726027397260274
184,2005-05-01,2.8,Ivan,2004-09-04,"Pensacola, FL",0.6547945205479452
185,2005-06-01,3.2,Ivan,2004-09-04,"Pensacola, FL",0.7397260273972602
186,2005-07-01,3.1,Ivan,2004-09-04,"Pensacola, FL",0.821917808219178
187,2005-08-01,2.8,Ivan,2004-09-04,"Pensacola, FL",0.9068493150684932
188,2005-09-01,2.9,Ivan,2004-09-04,"Pensacola, FL",0.9917808219178083
189,2005-10-01,2.6,Ivan,2004-09-04,"Pensacola, FL",1.073972602739726
190,2005-11-01,2.6,Ivan,2004-09-04,"Pensacola, FL",1.158904109589041
191,2005-12-01,2.2,Ivan,2004-09-04,"Pensacola, FL",1.2410958904109588
192,2006-01-01,2.6,Ivan,2004-09-04,"Pensacola, FL",1.326027397260274
193,2006-02-01,2.3,Ivan,2004-09-04,"Pensacola, FL",1.4109589041095891
194,2006-03-01,2.0,Ivan,2004-09-04,"Pensacola, FL",1.4876712328767123
195,2006-04-01,2.0,Ivan,2004-09-04,"Pensacola, FL",1.5726027397260274
196,2006-05-01,2.2,Ivan,2004-09-04,"Pensacola, FL",1.6547945205479453
197,2006-06-01,2.6,Ivan,2004-09-04,"Pensacola, FL",1.7397260273972603
198,2006-07-01,2.8,Ivan,2004-09-04,"Pensacola, FL",1.821917808219178
199,2006-08-01,2.6,Ivan,2004-09-04,"Pensacola, FL",1.906849315068493
200,2006-09-01,2.5,Ivan,2004-09-04,"Pensacola, FL",1.9917808219178081
201,2006-10-01,2.4,Ivan,2004-09-04,"Pensacola, FL",2.073972602739726
202,2006-11-01,2.5,Ivan,2004-09-04,"Pensacola, FL",2.158904109589041
203,2006-12-01,2.4,Ivan,2004-09-04,"Pensacola, FL",2.241095890410959
204,2007-01-01,3.1,Ivan,2004-09-04,"Pensacola, FL",2.326027397260274
205,2007-02-01,2.8,Ivan,2004-09-04,"Pensacola, FL",2.410958904109589
206,2007-03-01,2.6,Ivan,2004-09-04,"Pensacola, FL",2.4876712328767123
