,DATE,New Private Housing Structures Authorized,Hurricane,Hurricane Date,Location,Delta
0,2006-01-01,1580,Sandy,2012-10-22,"Cape May, NJ",-6
1,2007-01-01,1081,Sandy,2012-10-22,"Cape May, NJ",-5
2,2008-01-01,485,Sandy,2012-10-22,"Cape May, NJ",-4
3,2009-01-01,428,Sandy,2012-10-22,"Cape May, NJ",-3
4,2010-01-01,434,Sandy,2012-10-22,"Cape May, NJ",-2
5,2011-01-01,452,Sandy,2012-10-22,"Cape May, NJ",-1
6,2012-01-01,491,Sandy,2012-10-22,"Cape May, NJ",0
7,2013-01-01,658,Sandy,2012-10-22,"Cape May, NJ",0
8,2014-01-01,638,Sandy,2012-10-22,"Cape May, NJ",1
9,2015-01-01,614,Sandy,2012-10-22,"Cape May, NJ",2
10,2016-01-01,642,Sandy,2012-10-22,"Cape May, NJ",3
11,2017-01-01,809,Sandy,2012-10-22,"Cape May, NJ",4
12,2018-01-01,643,Sandy,2012-10-22,"Cape May, NJ",5
13,2019-01-01,863,Sandy,2012-10-22,"Cape May, NJ",6
14,2020-01-01,675,Sandy,2012-10-22,"Cape May, NJ",7
