,DATE,Median,Hurricane,Hurricane Date,Location,Delta
0,2008-01-01,54423,Sandy,2012-10-22,Cape May,-4.810958904109589
1,2009-01-01,49797,Sandy,2012-10-22,Cape May,-3.808219178082192
2,2010-01-01,51585,Sandy,2012-10-22,Cape May,-2.808219178082192
3,2011-01-01,52312,Sandy,2012-10-22,Cape May,-1.8082191780821917
4,2012-01-01,55175,Sandy,2012-10-22,Cape May,-0.8082191780821918
5,2013-01-01,56520,Sandy,2012-10-22,Cape May,0.19452054794520549
6,2014-01-01,55409,Sandy,2012-10-22,Cape May,1.1945205479452055
7,2015-01-01,55632,Sandy,2012-10-22,Cape May,2.1945205479452055
8,2016-01-01,59181,Sandy,2012-10-22,Cape May,3.1945205479452055
9,2017-01-01,64450,Sandy,2012-10-22,Cape May,4.197260273972603
10,2018-01-01,62175,Sandy,2012-10-22,Cape May,5.197260273972603
11,2019-01-01,66565,Sandy,2012-10-22,Cape May,6.197260273972603
12,2020-01-01,75829,Sandy,2012-10-22,Cape May,7.197260273972603
