,DATE,Unemployment,Hurricane,Hurricane Date,Location,Unemployment Month,Delta
0,2008-01-01,11.9,Sandy,2012-10-22,"Cape May, NJ",1,-4
1,2008-02-01,11.3,Sandy,2012-10-22,"Cape May, NJ",2,-4
2,2008-03-01,10.6,Sandy,2012-10-22,"Cape May, NJ",3,-4
3,2008-04-01,8.2,Sandy,2012-10-22,"Cape May, NJ",4,-4
4,2008-05-01,6.5,Sandy,2012-10-22,"Cape May, NJ",5,-4
5,2008-06-01,5.3,Sandy,2012-10-22,"Cape May, NJ",6,-4
6,2008-07-01,5.0,Sandy,2012-10-22,"Cape May, NJ",7,-4
7,2008-08-01,4.8,Sandy,2012-10-22,"Cape May, NJ",8,-4
8,2008-09-01,5.6,Sandy,2012-10-22,"Cape May, NJ",9,-4
9,2008-10-01,7.8,Sandy,2012-10-22,"Cape May, NJ",10,-4
10,2008-11-01,10.7,Sandy,2012-10-22,"Cape May, NJ",11,-3
11,2008-12-01,12.3,Sandy,2012-10-22,"Cape May, NJ",12,-3
12,2009-01-01,15.4,Sandy,2012-10-22,"Cape May, NJ",1,-3
13,2009-02-01,15.3,Sandy,2012-10-22,"Cape May, NJ",2,-3
14,2009-03-01,14.6,Sandy,2012-10-22,"Cape May, NJ",3,-3
15,2009-04-01,11.5,Sandy,2012-10-22,"Cape May, NJ",4,-3
16,2009-05-01,9.2,Sandy,2012-10-22,"Cape May, NJ",5,-3
17,2009-06-01,8.0,Sandy,2012-10-22,"Cape May, NJ",6,-3
18,2009-07-01,7.4,Sandy,2012-10-22,"Cape May, NJ",7,-3
19,2009-08-01,7.1,Sandy,2012-10-22,"Cape May, NJ",8,-3
20,2009-09-01,8.1,Sandy,2012-10-22,"Cape May, NJ",9,-3
21,2009-10-01,11.1,Sandy,2012-10-22,"Cape May, NJ",10,-3
22,2009-11-01,14.1,Sandy,2012-10-22,"Cape May, NJ",11,-2
23,2009-12-01,15.6,Sandy,2012-10-22,"Cape May, NJ",12,-2
24,2010-01-01,21.2,Sandy,2012-10-22,"Cape May, NJ",1,-2
25,2010-02-01,21.2,Sandy,2012-10-22,"Cape May, NJ",2,-2
26,2010-03-01,19.5,Sandy,2012-10-22,"Cape May, NJ",3,-2
27,2010-04-01,15.6,Sandy,2012-10-22,"Cape May, NJ",4,-2
28,2010-05-01,12.5,Sandy,2012-10-22,"Cape May, NJ",5,-2
29,2010-06-01,10.5,Sandy,2012-10-22,"Cape May, NJ",6,-2
30,2010-07-01,9.3,Sandy,2012-10-22,"Cape May, NJ",7,-2
31,2010-08-01,8.8,Sandy,2012-10-22,"Cape May, NJ",8,-2
32,2010-09-01,9.9,Sandy,2012-10-22,"Cape May, NJ",9,-2
33,2010-10-01,12.8,Sandy,2012-10-22,"Cape May, NJ",10,-2
34,2010-11-01,16.9,Sandy,2012-10-22,"Cape May, NJ",11,-1
35,2010-12-01,17.9,Sandy,2012-10-22,"Cape May, NJ",12,-1
36,2011-01-01,21.6,Sandy,2012-10-22,"Cape May, NJ",1,-1
37,2011-02-01,20.7,Sandy,2012-10-22,"Cape May, NJ",2,-1
38,2011-03-01,19.2,Sandy,2012-10-22,"Cape May, NJ",3,-1
