,DATE,New Private Housing Structures Authorized,Hurricane,Hurricane Date,Location,Housing Auth Month,Delta
156,1/1/2001,3823,Katrina,8/29/2005,New Orleans Metro Area,1,-4
168,1/1/2002,4690,Katrina,8/29/2005,New Orleans Metro Area,1,-3
180,1/1/2003,5530,Katrina,8/29/2005,New Orleans Metro Area,1,-2
192,1/1/2004,6413,Katrina,8/29/2005,New Orleans Metro Area,1,-1
204,1/1/2005,4534,Katrina,8/29/2005,New Orleans Metro Area,1,0
216,1/1/2006,5399,Katrina,8/29/2005,New Orleans Metro Area,1,0
228,1/1/2007,6865,Katrina,8/29/2005,New Orleans Metro Area,1,1
240,1/1/2008,4734,Katrina,8/29/2005,New Orleans Metro Area,1,2
252,1/1/2009,2812,Katrina,8/29/2005,New Orleans Metro Area,1,3
264,1/1/2010,2186,Katrina,8/29/2005,New Orleans Metro Area,1,4
276,1/1/2011,2319,Katrina,8/29/2005,New Orleans Metro Area,1,5
288,1/1/2012,2394,Katrina,8/29/2005,New Orleans Metro Area,1,6
300,1/1/2013,2731,Katrina,8/29/2005,New Orleans Metro Area,1,7
312,1/1/2014,2800,Katrina,8/29/2005,New Orleans Metro Area,1,8
324,1/1/2015,2369,Katrina,8/29/2005,New Orleans Metro Area,1,9
