,DATE,Housing Price Index,Hurricane,Hurricane Date,Location,Delta
95,2001-01-01,135.93,Katrina,2005-08-29,New Orleans Metro Area,-4.66027397260274
96,2001-04-01,137.86,Katrina,2005-08-29,New Orleans Metro Area,-4.413698630136986
97,2001-07-01,138.83,Katrina,2005-08-29,New Orleans Metro Area,-4.164383561643835
98,2001-10-01,140.62,Katrina,2005-08-29,New Orleans Metro Area,-3.9123287671232876
99,2002-01-01,141.37,Katrina,2005-08-29,New Orleans Metro Area,-3.66027397260274
100,2002-04-01,142.99,Katrina,2005-08-29,New Orleans Metro Area,-3.4136986301369863
101,2002-07-01,145.63,Katrina,2005-08-29,New Orleans Metro Area,-3.164383561643836
102,2002-10-01,147.94,Katrina,2005-08-29,New Orleans Metro Area,-2.9123287671232876
103,2003-01-01,149.77,Katrina,2005-08-29,New Orleans Metro Area,-2.66027397260274
104,2003-04-01,151.78,Katrina,2005-08-29,New Orleans Metro Area,-2.4136986301369863
105,2003-07-01,153.65,Katrina,2005-08-29,New Orleans Metro Area,-2.164383561643836
106,2003-10-01,157.23,Katrina,2005-08-29,New Orleans Metro Area,-1.9123287671232876
107,2004-01-01,159.2,Katrina,2005-08-29,New Orleans Metro Area,-1.6602739726027398
108,2004-04-01,162.83,Katrina,2005-08-29,New Orleans Metro Area,-1.4109589041095891
109,2004-07-01,166.65,Katrina,2005-08-29,New Orleans Metro Area,-1.1616438356164382
110,2004-10-01,169.85,Katrina,2005-08-29,New Orleans Metro Area,-0.9095890410958904
111,2005-01-01,171.52,Katrina,2005-08-29,New Orleans Metro Area,-0.6575342465753424
112,2005-04-01,175.7,Katrina,2005-08-29,New Orleans Metro Area,-0.410958904109589
113,2005-07-01,179.88,Katrina,2005-08-29,New Orleans Metro Area,-0.16164383561643836
114,2005-10-01,188.05,Katrina,2005-08-29,New Orleans Metro Area,0.09041095890410959
115,2006-01-01,194.75,Katrina,2005-08-29,New Orleans Metro Area,0.3424657534246575
116,2006-04-01,200.33,Katrina,2005-08-29,New Orleans Metro Area,0.589041095890411
117,2006-07-01,204.19,Katrina,2005-08-29,New Orleans Metro Area,0.8383561643835616
118,2006-10-01,207.73,Katrina,2005-08-29,New Orleans Metro Area,1.0904109589041096
119,2007-01-01,209.08,Katrina,2005-08-29,New Orleans Metro Area,1.3424657534246576
120,2007-04-01,208.35,Katrina,2005-08-29,New Orleans Metro Area,1.5890410958904109
121,2007-07-01,207.69,Katrina,2005-08-29,New Orleans Metro Area,1.8383561643835618
122,2007-10-01,205.91,Katrina,2005-08-29,New Orleans Metro Area,2.0904109589041098
123,2008-01-01,206.17,Katrina,2005-08-29,New Orleans Metro Area,2.3424657534246576
124,2008-04-01,203.67,Katrina,2005-08-29,New Orleans Metro Area,2.591780821917808
125,2008-07-01,199.33,Katrina,2005-08-29,New Orleans Metro Area,2.841095890410959
126,2008-10-01,199.7,Katrina,2005-08-29,New Orleans Metro Area,3.0931506849315067
127,2009-01-01,201.62,Katrina,2005-08-29,New Orleans Metro Area,3.345205479452055
128,2009-04-01,199.18,Katrina,2005-08-29,New Orleans Metro Area,3.591780821917808
129,2009-07-01,194.74,Katrina,2005-08-29,New Orleans Metro Area,3.841095890410959
130,2009-10-01,192.91,Katrina,2005-08-29,New Orleans Metro Area,4.093150684931507
131,2010-01-01,191.49,Katrina,2005-08-29,New Orleans Metro Area,4.345205479452055
132,2010-04-01,188.22,Katrina,2005-08-29,New Orleans Metro Area,4.5917808219178085
133,2010-07-01,191.29,Katrina,2005-08-29,New Orleans Metro Area,4.841095890410959
134,2010-10-01,190.51,Katrina,2005-08-29,New Orleans Metro Area,5.093150684931507
135,2011-01-01,188.35,Katrina,2005-08-29,New Orleans Metro Area,5.345205479452055
136,2011-04-01,186.26,Katrina,2005-08-29,New Orleans Metro Area,5.5917808219178085
137,2011-07-01,187.25,Katrina,2005-08-29,New Orleans Metro Area,5.841095890410959
138,2011-10-01,189.14,Katrina,2005-08-29,New Orleans Metro Area,6.093150684931507
139,2012-01-01,188.93,Katrina,2005-08-29,New Orleans Metro Area,6.345205479452055
140,2012-04-01,189.33,Katrina,2005-08-29,New Orleans Metro Area,6.594520547945206
141,2012-07-01,192.1,Katrina,2005-08-29,New Orleans Metro Area,6.843835616438356
142,2012-10-01,191.28,Katrina,2005-08-29,New Orleans Metro Area,7.095890410958904
143,2013-01-01,192.02,Katrina,2005-08-29,New Orleans Metro Area,7.347945205479452
144,2013-04-01,194.3,Katrina,2005-08-29,New Orleans Metro Area,7.594520547945206
145,2013-07-01,195.76,Katrina,2005-08-29,New Orleans Metro Area,7.843835616438356
146,2013-10-01,194.53,Katrina,2005-08-29,New Orleans Metro Area,8.095890410958905
147,2014-01-01,194.73,Katrina,2005-08-29,New Orleans Metro Area,8.347945205479451
148,2014-04-01,197.23,Katrina,2005-08-29,New Orleans Metro Area,8.594520547945205
149,2014-07-01,201.31,Katrina,2005-08-29,New Orleans Metro Area,8.843835616438357
150,2014-10-01,201.75,Katrina,2005-08-29,New Orleans Metro Area,9.095890410958905
151,2015-01-01,206.61,Katrina,2005-08-29,New Orleans Metro Area,9.347945205479451
152,2015-04-01,208.13,Katrina,2005-08-29,New Orleans Metro Area,9.594520547945205
153,2015-07-01,211.25,Katrina,2005-08-29,New Orleans Metro Area,9.843835616438357
154,2015-10-01,212.15,Katrina,2005-08-29,New Orleans Metro Area,10.095890410958905
155,2016-01-01,215.85,Katrina,2005-08-29,New Orleans Metro Area,10.347945205479451
156,2016-04-01,219.55,Katrina,2005-08-29,New Orleans Metro Area,10.597260273972603
157,2016-07-01,222.64,Katrina,2005-08-29,New Orleans Metro Area,10.846575342465753
158,2016-10-01,222.83,Katrina,2005-08-29,New Orleans Metro Area,11.098630136986301
159,2017-01-01,221.37,Katrina,2005-08-29,New Orleans Metro Area,11.35068493150685
160,2017-04-01,225.18,Katrina,2005-08-29,New Orleans Metro Area,11.597260273972603
161,2017-07-01,228.74,Katrina,2005-08-29,New Orleans Metro Area,11.846575342465753
162,2017-10-01,229.05,Katrina,2005-08-29,New Orleans Metro Area,12.098630136986301
163,2018-01-01,229.82,Katrina,2005-08-29,New Orleans Metro Area,12.35068493150685
164,2018-04-01,230.72,Katrina,2005-08-29,New Orleans Metro Area,12.597260273972603
165,2018-07-01,233.91,Katrina,2005-08-29,New Orleans Metro Area,12.846575342465753
166,2018-10-01,233.21,Katrina,2005-08-29,New Orleans Metro Area,13.098630136986301
167,2019-01-01,237.16,Katrina,2005-08-29,New Orleans Metro Area,13.35068493150685
168,2019-04-01,240.18,Katrina,2005-08-29,New Orleans Metro Area,13.597260273972603
169,2019-07-01,242.26,Katrina,2005-08-29,New Orleans Metro Area,13.846575342465753
170,2019-10-01,245.64,Katrina,2005-08-29,New Orleans Metro Area,14.098630136986301
171,2020-01-01,247.72,Katrina,2005-08-29,New Orleans Metro Area,14.35068493150685
172,2020-04-01,250.58,Katrina,2005-08-29,New Orleans Metro Area,14.6
173,2020-07-01,253.41,Katrina,2005-08-29,New Orleans Metro Area,14.849315068493151
174,2020-10-01,258.59,Katrina,2005-08-29,New Orleans Metro Area,15.101369863013698
175,2021-01-01,261.67,Katrina,2005-08-29,New Orleans Metro Area,15.353424657534246
176,2021-04-01,271.01,Katrina,2005-08-29,New Orleans Metro Area,15.6
177,2021-07-01,281.68,Katrina,2005-08-29,New Orleans Metro Area,15.849315068493151
