,DATE,Median,Hurricane,Hurricane Date,Location,Hurricane Year,Median Income Year,Delta
0,2001-01-01,26844,Katrina,2005-08-29,New Orleans Metro Area,2005,2001,-4
1,2002-01-01,26711,Katrina,2005-08-29,New Orleans Metro Area,2005,2002,-3
2,2003-01-01,27478,Katrina,2005-08-29,New Orleans Metro Area,2005,2003,-2
3,2004-01-01,27355,Katrina,2005-08-29,New Orleans Metro Area,2005,2004,-1
4,2005-01-01,30216,Katrina,2005-08-29,New Orleans Metro Area,2005,2005,0
5,2006-01-01,33373,Katrina,2005-08-29,New Orleans Metro Area,2005,2006,1
6,2007-01-01,37348,Katrina,2005-08-29,New Orleans Metro Area,2005,2007,2
7,2008-01-01,37047,Katrina,2005-08-29,New Orleans Metro Area,2005,2008,3
8,2009-01-01,35243,Katrina,2005-08-29,New Orleans Metro Area,2005,2009,4
9,2010-01-01,36525,Katrina,2005-08-29,New Orleans Metro Area,2005,2010,5
10,2011-01-01,34851,Katrina,2005-08-29,New Orleans Metro Area,2005,2011,6
11,2012-01-01,33948,Katrina,2005-08-29,New Orleans Metro Area,2005,2012,7
12,2013-01-01,36240,Katrina,2005-08-29,New Orleans Metro Area,2005,2013,8
13,2014-01-01,35468,Katrina,2005-08-29,New Orleans Metro Area,2005,2014,9
14,2015-01-01,38640,Katrina,2005-08-29,New Orleans Metro Area,2005,2015,10
15,2016-01-01,38418,Katrina,2005-08-29,New Orleans Metro Area,2005,2016,11
16,2017-01-01,37407,Katrina,2005-08-29,New Orleans Metro Area,2005,2017,12
17,2018-01-01,38855,Katrina,2005-08-29,New Orleans Metro Area,2005,2018,13
18,2019-01-01,45092,Katrina,2005-08-29,New Orleans Metro Area,2005,2019,14
19,2020-01-01,51704,Katrina,2005-08-29,New Orleans Metro Area,2005,2020,15
