,DATE,Population,Hurricane,Hurricane Date,Location,Hurricane Year,Population Year,Delta
1,2001-01-01,1311.131,Katrina,2005-08-29,New Orleans Metro Area,2005,2001,-4
2,2002-01-01,1311.39,Katrina,2005-08-29,New Orleans Metro Area,2005,2002,-3
3,2003-01-01,1312.039,Katrina,2005-08-29,New Orleans Metro Area,2005,2003,-2
4,2004-01-01,1314.721,Katrina,2005-08-29,New Orleans Metro Area,2005,2004,-1
5,2005-01-01,1313.46,Katrina,2005-08-29,New Orleans Metro Area,2005,2005,0
6,2006-01-01,987.535,Katrina,2005-08-29,New Orleans Metro Area,2005,2006,1
7,2007-01-01,1109.415,Katrina,2005-08-29,New Orleans Metro Area,2005,2007,2
8,2008-01-01,1168.547,Katrina,2005-08-29,New Orleans Metro Area,2005,2008,3
9,2009-01-01,1189.981,Katrina,2005-08-29,New Orleans Metro Area,2005,2009,4
10,2010-01-01,1195.368,Katrina,2005-08-29,New Orleans Metro Area,2005,2010,5
11,2011-01-01,1214.209,Katrina,2005-08-29,New Orleans Metro Area,2005,2011,6
12,2012-01-01,1227.264,Katrina,2005-08-29,New Orleans Metro Area,2005,2012,7
13,2013-01-01,1240.094,Katrina,2005-08-29,New Orleans Metro Area,2005,2013,8
14,2014-01-01,1249.547,Katrina,2005-08-29,New Orleans Metro Area,2005,2014,9
15,2015-01-01,1261.063,Katrina,2005-08-29,New Orleans Metro Area,2005,2015,10
16,2016-01-01,1268.633,Katrina,2005-08-29,New Orleans Metro Area,2005,2016,11
17,2017-01-01,1271.46,Katrina,2005-08-29,New Orleans Metro Area,2005,2017,12
18,2018-01-01,1271.921,Katrina,2005-08-29,New Orleans Metro Area,2005,2018,13
19,2019-01-01,1273.979,Katrina,2005-08-29,New Orleans Metro Area,2005,2019,14
20,2020-01-01,1272.258,Katrina,2005-08-29,New Orleans Metro Area,2005,2020,15
