,DATE,Real GDP,Hurricane,Hurricane Date,Location,Hurricane Year,Real GDP Year,Delta
0,2001-01-01,73442.166,Katrina,2005-08-29,New Orleans Metro Area,2005,2001,-4
1,2002-01-01,75328.739,Katrina,2005-08-29,New Orleans Metro Area,2005,2002,-3
2,2003-01-01,78918.745,Katrina,2005-08-29,New Orleans Metro Area,2005,2003,-2
3,2004-01-01,81334.302,Katrina,2005-08-29,New Orleans Metro Area,2005,2004,-1
4,2005-01-01,84318.92,Katrina,2005-08-29,New Orleans Metro Area,2005,2005,0
5,2006-01-01,79449.804,Katrina,2005-08-29,New Orleans Metro Area,2005,2006,1
6,2007-01-01,77914.104,Katrina,2005-08-29,New Orleans Metro Area,2005,2007,2
7,2008-01-01,83433.636,Katrina,2005-08-29,New Orleans Metro Area,2005,2008,3
8,2009-01-01,84651.941,Katrina,2005-08-29,New Orleans Metro Area,2005,2009,4
9,2010-01-01,92142.273,Katrina,2005-08-29,New Orleans Metro Area,2005,2010,5
10,2011-01-01,70704.727,Katrina,2005-08-29,New Orleans Metro Area,2005,2011,6
11,2012-01-01,72043.147,Katrina,2005-08-29,New Orleans Metro Area,2005,2012,7
12,2013-01-01,69331.425,Katrina,2005-08-29,New Orleans Metro Area,2005,2013,8
13,2014-01-01,70312.627,Katrina,2005-08-29,New Orleans Metro Area,2005,2014,9
14,2015-01-01,70756.036,Katrina,2005-08-29,New Orleans Metro Area,2005,2015,10
15,2016-01-01,71093.484,Katrina,2005-08-29,New Orleans Metro Area,2005,2016,11
16,2017-01-01,75926.007,Katrina,2005-08-29,New Orleans Metro Area,2005,2017,12
17,2018-01-01,75223.663,Katrina,2005-08-29,New Orleans Metro Area,2005,2018,13
18,2019-01-01,76309.865,Katrina,2005-08-29,New Orleans Metro Area,2005,2019,14
19,2020-01-01,71916.039,Katrina,2005-08-29,New Orleans Metro Area,2005,2020,15
