,DATE,Unemployment,Hurricane,Hurricane Date,Location,Unemployment Month,Delta
132,2001-01-01,5.0,Katrina,2005-08-29,New Orleans Metro Area,1,-4
133,2001-02-01,5.0,Katrina,2005-08-29,New Orleans Metro Area,2,-4
134,2001-03-01,5.0,Katrina,2005-08-29,New Orleans Metro Area,3,-4
135,2001-04-01,5.0,Katrina,2005-08-29,New Orleans Metro Area,4,-4
136,2001-05-01,5.0,Katrina,2005-08-29,New Orleans Metro Area,5,-4
137,2001-06-01,5.0,Katrina,2005-08-29,New Orleans Metro Area,6,-4
138,2001-07-01,5.0,Katrina,2005-08-29,New Orleans Metro Area,7,-4
139,2001-08-01,5.2,Katrina,2005-08-29,New Orleans Metro Area,8,-4
140,2001-09-01,5.3,Katrina,2005-08-29,New Orleans Metro Area,9,-3
141,2001-10-01,5.5,Katrina,2005-08-29,New Orleans Metro Area,10,-3
142,2001-11-01,5.6,Katrina,2005-08-29,New Orleans Metro Area,11,-3
143,2001-12-01,5.7,Katrina,2005-08-29,New Orleans Metro Area,12,-3
144,2002-01-01,5.8,Katrina,2005-08-29,New Orleans Metro Area,1,-3
145,2002-02-01,5.8,Katrina,2005-08-29,New Orleans Metro Area,2,-3
146,2002-03-01,5.8,Katrina,2005-08-29,New Orleans Metro Area,3,-3
147,2002-04-01,5.7,Katrina,2005-08-29,New Orleans Metro Area,4,-3
148,2002-05-01,5.7,Katrina,2005-08-29,New Orleans Metro Area,5,-3
149,2002-06-01,5.6,Katrina,2005-08-29,New Orleans Metro Area,6,-3
150,2002-07-01,5.5,Katrina,2005-08-29,New Orleans Metro Area,7,-3
151,2002-08-01,5.5,Katrina,2005-08-29,New Orleans Metro Area,8,-3
152,2002-09-01,5.4,Katrina,2005-08-29,New Orleans Metro Area,9,-2
153,2002-10-01,5.4,Katrina,2005-08-29,New Orleans Metro Area,10,-2
154,2002-11-01,5.4,Katrina,2005-08-29,New Orleans Metro Area,11,-2
155,2002-12-01,5.5,Katrina,2005-08-29,New Orleans Metro Area,12,-2
156,2003-01-01,5.5,Katrina,2005-08-29,New Orleans Metro Area,1,-2
157,2003-02-01,5.5,Katrina,2005-08-29,New Orleans Metro Area,2,-2
158,2003-03-01,5.6,Katrina,2005-08-29,New Orleans Metro Area,3,-2
159,2003-04-01,5.6,Katrina,2005-08-29,New Orleans Metro Area,4,-2
160,2003-05-01,5.7,Katrina,2005-08-29,New Orleans Metro Area,5,-2
161,2003-06-01,5.7,Katrina,2005-08-29,New Orleans Metro Area,6,-2
162,2003-07-01,5.7,Katrina,2005-08-29,New Orleans Metro Area,7,-2
163,2003-08-01,5.6,Katrina,2005-08-29,New Orleans Metro Area,8,-2
164,2003-09-01,5.6,Katrina,2005-08-29,New Orleans Metro Area,9,-1
165,2003-10-01,5.5,Katrina,2005-08-29,New Orleans Metro Area,10,-1
166,2003-11-01,5.4,Katrina,2005-08-29,New Orleans Metro Area,11,-1
167,2003-12-01,5.3,Katrina,2005-08-29,New Orleans Metro Area,12,-1
168,2004-01-01,5.2,Katrina,2005-08-29,New Orleans Metro Area,1,-1
169,2004-02-01,5.2,Katrina,2005-08-29,New Orleans Metro Area,2,-1
170,2004-03-01,5.2,Katrina,2005-08-29,New Orleans Metro Area,3,-1
171,2004-04-01,5.1,Katrina,2005-08-29,New Orleans Metro Area,4,-1
172,2004-05-01,5.1,Katrina,2005-08-29,New Orleans Metro Area,5,-1
173,2004-06-01,5.0,Katrina,2005-08-29,New Orleans Metro Area,6,-1
174,2004-07-01,5.0,Katrina,2005-08-29,New Orleans Metro Area,7,-1
175,2004-08-01,5.0,Katrina,2005-08-29,New Orleans Metro Area,8,-1
176,2004-09-01,5.0,Katrina,2005-08-29,New Orleans Metro Area,9,0
177,2004-10-01,5.1,Katrina,2005-08-29,New Orleans Metro Area,10,0
178,2004-11-01,5.2,Katrina,2005-08-29,New Orleans Metro Area,11,0
179,2004-12-01,5.2,Katrina,2005-08-29,New Orleans Metro Area,12,0
180,2005-01-01,5.3,Katrina,2005-08-29,New Orleans Metro Area,1,0
181,2005-02-01,5.2,Katrina,2005-08-29,New Orleans Metro Area,2,0
182,2005-03-01,5.1,Katrina,2005-08-29,New Orleans Metro Area,3,0
183,2005-04-01,5.1,Katrina,2005-08-29,New Orleans Metro Area,4,0
184,2005-05-01,5.0,Katrina,2005-08-29,New Orleans Metro Area,5,0
185,2005-06-01,5.1,Katrina,2005-08-29,New Orleans Metro Area,6,0
186,2005-07-01,5.1,Katrina,2005-08-29,New Orleans Metro Area,7,0
187,2005-08-01,5.2,Katrina,2005-08-29,New Orleans Metro Area,8,0
188,2005-09-01,15.5,Katrina,2005-08-29,New Orleans Metro Area,9,0
189,2005-10-01,16.8,Katrina,2005-08-29,New Orleans Metro Area,10,0
190,2005-11-01,16.7,Katrina,2005-08-29,New Orleans Metro Area,11,0
191,2005-12-01,9.2,Katrina,2005-08-29,New Orleans Metro Area,12,0
192,2006-01-01,6.8,Katrina,2005-08-29,New Orleans Metro Area,1,0
193,2006-02-01,5.6,Katrina,2005-08-29,New Orleans Metro Area,2,0
