,DATE,Population,Hurricane,Hurricane Date,Location,Hurricane Year,Population Year,Delta
31,2001-01-01,3483.804,Rita,2005-09-18,Houston Area,2005,2001,-4
32,2002-01-01,3559.095,Rita,2005-09-18,Houston Area,2005,2002,-3
33,2003-01-01,3618.297,Rita,2005-09-18,Houston Area,2005,2003,-2
34,2004-01-01,3672.286,Rita,2005-09-18,Houston Area,2005,2004,-1
35,2005-01-01,3733.714,Rita,2005-09-18,Houston Area,2005,2005,0
36,2006-01-01,3856.396,Rita,2005-09-18,Houston Area,2005,2006,1
37,2007-01-01,3909.859,Rita,2005-09-18,Houston Area,2005,2007,2
38,2008-01-01,3981.948,Rita,2005-09-18,Houston Area,2005,2008,3
39,2009-01-01,4074.423,Rita,2005-09-18,Houston Area,2005,2009,4
40,2010-01-01,4107.542,Rita,2005-09-18,Houston Area,2005,2010,5
41,2011-01-01,4179.279,Rita,2005-09-18,Houston Area,2005,2011,6
42,2012-01-01,4262.549,Rita,2005-09-18,Houston Area,2005,2012,7
43,2013-01-01,4352.419,Rita,2005-09-18,Houston Area,2005,2013,8
44,2014-01-01,4454.951,Rita,2005-09-18,Houston Area,2005,2014,9
45,2015-01-01,4556.559,Rita,2005-09-18,Houston Area,2005,2015,10
46,2016-01-01,4622.836,Rita,2005-09-18,Houston Area,2005,2016,11
47,2017-01-01,4655.798,Rita,2005-09-18,Houston Area,2005,2017,12
48,2018-01-01,4676.913,Rita,2005-09-18,Houston Area,2005,2018,13
49,2019-01-01,4709.243,Rita,2005-09-18,Houston Area,2005,2019,14
50,2020-01-01,4738.253,Rita,2005-09-18,Houston Area,2005,2020,15
