,DATE,Real GDP,Hurricane,Hurricane Date,Location,Hurricane Year,Real GDP Year,Delta
0,2001-01-01,244128701,Rita,2005-09-18,Houston Area,2005,2001,-4
1,2002-01-01,242658014,Rita,2005-09-18,Houston Area,2005,2002,-3
2,2003-01-01,243159988,Rita,2005-09-18,Houston Area,2005,2003,-2
3,2004-01-01,265896284,Rita,2005-09-18,Houston Area,2005,2004,-1
4,2005-01-01,269128633,Rita,2005-09-18,Houston Area,2005,2005,0
5,2006-01-01,291331105,Rita,2005-09-18,Houston Area,2005,2006,0
6,2007-01-01,314805758,Rita,2005-09-18,Houston Area,2005,2007,1
7,2008-01-01,306964800,Rita,2005-09-18,Houston Area,2005,2008,2
8,2009-01-01,303210517,Rita,2005-09-18,Houston Area,2005,2009,3
9,2010-01-01,315238850,Rita,2005-09-18,Houston Area,2005,2010,4
10,2011-01-01,323588295,Rita,2005-09-18,Houston Area,2005,2011,5
11,2012-01-01,333797149,Rita,2005-09-18,Houston Area,2005,2012,6
12,2013-01-01,346384587,Rita,2005-09-18,Houston Area,2005,2013,7
13,2014-01-01,349764201,Rita,2005-09-18,Houston Area,2005,2014,8
14,2015-01-01,368946321,Rita,2005-09-18,Houston Area,2005,2015,9
15,2016-01-01,364787186,Rita,2005-09-18,Houston Area,2005,2016,10
16,2017-01-01,367138880,Rita,2005-09-18,Houston Area,2005,2017,11
17,2018-01-01,376949835,Rita,2005-09-18,Houston Area,2005,2018,12
18,2019-01-01,373087121,Rita,2005-09-18,Houston Area,2005,2019,13
19,2020-01-01,359650873,Rita,2005-09-18,Houston Area,2005,2020,14
