,DATE,Unemployment,Hurricane,Hurricane Date,Location,Delta
0,1990-01-01,4.8,Rita,2005-09-18,Houston Area,-15
1,1990-02-01,4.8,Rita,2005-09-18,Houston Area,-15
2,1990-03-01,4.8,Rita,2005-09-18,Houston Area,-15
3,1990-04-01,5.1,Rita,2005-09-18,Houston Area,-15
4,1990-05-01,5.0,Rita,2005-09-18,Houston Area,-15
5,1990-06-01,5.1,Rita,2005-09-18,Houston Area,-15
6,1990-07-01,5.6,Rita,2005-09-18,Houston Area,-15
7,1990-08-01,5.7,Rita,2005-09-18,Houston Area,-15
8,1990-09-01,5.6,Rita,2005-09-18,Houston Area,-15
9,1990-10-01,5.4,Rita,2005-09-18,Houston Area,-14
10,1990-11-01,5.5,Rita,2005-09-18,Houston Area,-14
11,1990-12-01,4.7,Rita,2005-09-18,Houston Area,-14
12,1991-01-01,5.1,Rita,2005-09-18,Houston Area,-14
13,1991-02-01,5.4,Rita,2005-09-18,Houston Area,-14
14,1991-03-01,5.5,Rita,2005-09-18,Houston Area,-14
15,1991-04-01,4.7,Rita,2005-09-18,Houston Area,-14
16,1991-05-01,4.9,Rita,2005-09-18,Houston Area,-14
17,1991-06-01,5.3,Rita,2005-09-18,Houston Area,-14
18,1991-07-01,5.0,Rita,2005-09-18,Houston Area,-14
19,1991-08-01,5.1,Rita,2005-09-18,Houston Area,-14
20,1991-09-01,4.9,Rita,2005-09-18,Houston Area,-14
21,1991-10-01,4.8,Rita,2005-09-18,Houston Area,-13
22,1991-11-01,5.3,Rita,2005-09-18,Houston Area,-13
23,1991-12-01,5.3,Rita,2005-09-18,Houston Area,-13
24,1992-01-01,5.9,Rita,2005-09-18,Houston Area,-13
25,1992-02-01,5.4,Rita,2005-09-18,Houston Area,-13
26,1992-03-01,5.3,Rita,2005-09-18,Houston Area,-13
27,1992-04-01,4.8,Rita,2005-09-18,Houston Area,-13
28,1992-05-01,5.1,Rita,2005-09-18,Houston Area,-13
29,1992-06-01,6.0,Rita,2005-09-18,Houston Area,-13
30,1992-07-01,5.9,Rita,2005-09-18,Houston Area,-13
31,1992-08-01,5.7,Rita,2005-09-18,Houston Area,-13
32,1992-09-01,5.8,Rita,2005-09-18,Houston Area,-13
33,1992-10-01,5.2,Rita,2005-09-18,Houston Area,-12
34,1992-11-01,5.8,Rita,2005-09-18,Houston Area,-12
35,1992-12-01,5.6,Rita,2005-09-18,Houston Area,-12
36,1993-01-01,5.6,Rita,2005-09-18,Houston Area,-12
37,1993-02-01,6.1,Rita,2005-09-18,Houston Area,-12
38,1993-03-01,6.3,Rita,2005-09-18,Houston Area,-12
39,1993-04-01,5.6,Rita,2005-09-18,Houston Area,-12
40,1993-05-01,5.6,Rita,2005-09-18,Houston Area,-12
41,1993-06-01,6.6,Rita,2005-09-18,Houston Area,-12
42,1993-07-01,6.1,Rita,2005-09-18,Houston Area,-12
43,1993-08-01,5.6,Rita,2005-09-18,Houston Area,-12
44,1993-09-01,5.2,Rita,2005-09-18,Houston Area,-12
45,1993-10-01,5.1,Rita,2005-09-18,Houston Area,-11
46,1993-11-01,5.0,Rita,2005-09-18,Houston Area,-11
47,1993-12-01,4.4,Rita,2005-09-18,Houston Area,-11
