DATE,BPPRIV036005
1990-01-01,1182
1991-01-01,1093
1992-01-01,1257
1993-01-01,1293
1994-01-01,846
1995-01-01,853
1996-01-01,885
1997-01-01,1161
1998-01-01,1309
1999-01-01,1153
2000-01-01,1646
2001-01-01,2216
2002-01-01,2626
2003-01-01,2935
2004-01-01,4924
2005-01-01,4937
2006-01-01,4658
2007-01-01,3088
2008-01-01,2482
2009-01-01,1647
2010-01-01,1064
2011-01-01,1116
2012-01-01,2552
2013-01-01,2638
2014-01-01,1885
2015-01-01,4682
2016-01-01,4003.0
2017-01-01,5401.0
2018-01-01,3698.0
2019-01-01,5541.0
2020-01-01,4461.0
