DATE,ATNHPIUS36005A
1978-01-01,23.94
1979-01-01,24.50
1980-01-01,26.59
1981-01-01,28.37
1982-01-01,32.14
1983-01-01,36.38
1984-01-01,42.38
1985-01-01,48.40
1986-01-01,59.99
1987-01-01,70.52
1988-01-01,80.79
1989-01-01,84.31
1990-01-01,84.28
1991-01-01,82.48
1992-01-01,81.86
1993-01-01,81.30
1994-01-01,79.59
1995-01-01,80.35
1996-01-01,80.45
1997-01-01,82.71
1998-01-01,87.25
1999-01-01,91.15
2000-01-01,100.00
2001-01-01,109.59
2002-01-01,119.04
2003-01-01,130.71
2004-01-01,148.14
2005-01-01,175.39
2006-01-01,198.06
2007-01-01,209.87
2008-01-01,204.03
2009-01-01,187.16
2010-01-01,178.84
2011-01-01,174.22
2012-01-01,169.87
2013-01-01,170.33
2014-01-01,175.69
2015-01-01,181.02
2016-01-01,194.10
2017-01-01,206.74
2018-01-01,224.76
2019-01-01,234.76
2020-01-01,246.22
