DATE,MHIFL12011A052NCEN
1989-01-01,27615
1990-01-01,.
1991-01-01,.
1992-01-01,.
1993-01-01,31264
1994-01-01,.
1995-01-01,33895
1996-01-01,.
1997-01-01,37832
1998-01-01,40589
1999-01-01,40328
2000-01-01,42690
2001-01-01,42311
2002-01-01,42497
2003-01-01,42673
2004-01-01,43136
2005-01-01,46618
2006-01-01,50399
2007-01-01,52504
2008-01-01,51594
2009-01-01,48772
2010-01-01,47917
2011-01-01,48478
2012-01-01,49564
2013-01-01,50343
2014-01-01,51485
2015-01-01,53624
2016-01-01,54055
2017-01-01,56702
2018-01-01,57200
2019-01-01,61429
2020-01-01,63901
