DATE,BPPRIV012011
1990-01-01,10749
1991-01-01,6523
1992-01-01,8739
1993-01-01,12964
1994-01-01,15726
1995-01-01,12870
1996-01-01,14419
1997-01-01,12981
1998-01-01,12483
1999-01-01,12013
2000-01-01,11970
2001-01-01,10761
2002-01-01,12028
2003-01-01,8218
2004-01-01,8709
2005-01-01,6951
2006-01-01,6716
2007-01-01,3933
2008-01-01,2164
2009-01-01,1049
2010-01-01,1168
2011-01-01,2444
2012-01-01,3556
2013-01-01,4470
2014-01-01,2462
2015-01-01,5452
2016-01-01,4105.0
2017-01-01,5034.0
2018-01-01,3332.0
2019-01-01,5130.0
2020-01-01,4428.0
