DATE,ENU1203320510
1990-01-01,5446
1990-04-01,5411
1990-07-01,5405
1990-10-01,5384
1991-01-01,5620
1991-04-01,5613
1991-07-01,5660
1991-10-01,5669
1992-01-01,5776
1992-04-01,5767
1992-07-01,5812
1992-10-01,5841
1993-01-01,5893
1993-04-01,5900
1993-07-01,5957
1993-10-01,5973
1994-01-01,6002
1994-04-01,6001
1994-07-01,6006
1994-10-01,5972
1995-01-01,6008
1995-04-01,5970
1995-07-01,6014
1995-10-01,6044
1996-01-01,6330
1996-04-01,6387
1996-07-01,6306
1996-10-01,6398
1997-01-01,6466
1997-04-01,6480
1997-07-01,6637
1997-10-01,6767
1998-01-01,6866
1998-04-01,6882
1998-07-01,6874
1998-10-01,6911
1999-01-01,6519
1999-04-01,6649
1999-07-01,6509
1999-10-01,6509
2000-01-01,6568
2000-04-01,6615
2000-07-01,6560
2000-10-01,6560
2001-01-01,6555
2001-04-01,6645
2001-07-01,6660
2001-10-01,6665
2002-01-01,6706
2002-04-01,6801
2002-07-01,6810
2002-10-01,6833
2003-01-01,6967
2003-04-01,6902
2003-07-01,6936
2003-10-01,6936
2004-01-01,7231
2004-04-01,7269
2004-07-01,7296
2004-10-01,7308
2005-01-01,7366
2005-04-01,7430
2005-07-01,7463
2005-10-01,7454
2006-01-01,7642
2006-04-01,7652
2006-07-01,7700
2006-10-01,7690
2007-01-01,7809
2007-04-01,7815
2007-07-01,7830
2007-10-01,7837
2008-01-01,7974
2008-04-01,7953
2008-07-01,7955
2008-10-01,7912
2009-01-01,7845
2009-04-01,7705
2009-07-01,7784
2009-10-01,7726
2010-01-01,7690
2010-04-01,7738
2010-07-01,7726
2010-10-01,7647
2011-01-01,7642
2011-04-01,7638
2011-07-01,7625
2011-10-01,7637
2012-01-01,7663
2012-04-01,7765
2012-07-01,7833
2012-10-01,7794
2013-01-01,7826
2013-04-01,7816
2013-07-01,7899
2013-10-01,7983
2014-01-01,7895
2014-04-01,7969
2014-07-01,7964
2014-10-01,8062
2015-01-01,8059
2015-04-01,7759
2015-07-01,7815
2015-10-01,7886
2016-01-01,7861
2016-04-01,7871
2016-07-01,7925
2016-10-01,8016
2017-01-01,7967
2017-04-01,8036
2017-07-01,7889
2017-10-01,7962
2018-01-01,7907
2018-04-01,7988
2018-07-01,7998
2018-10-01,8123
2019-01-01,8144
2019-04-01,8205
2019-07-01,8264
2019-10-01,8317
2020-01-01,8333
2020-04-01,8429
2020-07-01,8598
2020-10-01,8617
2021-01-01,8653
2021-04-01,8825
