DATE,MHIFL12033A052NCEN
1989-01-01,23493
1990-01-01,.
1991-01-01,.
1992-01-01,.
1993-01-01,27848
1994-01-01,.
1995-01-01,29527
1996-01-01,.
1997-01-01,31069
1998-01-01,31891
1999-01-01,32733
2000-01-01,34355
2001-01-01,34160
2002-01-01,34528
2003-01-01,35347
2004-01-01,36743
2005-01-01,39830
2006-01-01,41923
2007-01-01,41772
2008-01-01,41690
2009-01-01,40794
2010-01-01,41428
2011-01-01,41072
2012-01-01,44539
2013-01-01,42742
2014-01-01,46139
2015-01-01,45735
2016-01-01,45004
2017-01-01,48289
2018-01-01,50644
2019-01-01,52822
2020-01-01,57089
