DATE,MHITX48167A052NCEN
1989-01-01,28051
1990-01-01,.
1991-01-01,.
1992-01-01,.
1993-01-01,33900
1994-01-01,.
1995-01-01,37423
1996-01-01,.
1997-01-01,39119
1998-01-01,41666
1999-01-01,41461
2000-01-01,43916
2001-01-01,43716
2002-01-01,44247
2003-01-01,44872
2004-01-01,45735
2005-01-01,46012
2006-01-01,52176
2007-01-01,52392
2008-01-01,57950
2009-01-01,55883
2010-01-01,57124
2011-01-01,58106
2012-01-01,59588
2013-01-01,60210
2014-01-01,58333
2015-01-01,66173
2016-01-01,64155
2017-01-01,69674
2018-01-01,71959
2019-01-01,73214
2020-01-01,78465
