DATE,MHITX48225A052NCEN
1989-01-01,17667
1990-01-01,.
1991-01-01,.
1992-01-01,.
1993-01-01,21429
1994-01-01,.
1995-01-01,22720
1996-01-01,.
1997-01-01,25157
1998-01-01,26418
1999-01-01,27162
2000-01-01,28796
2001-01-01,27868
2002-01-01,27497
2003-01-01,28036
2004-01-01,28630
2005-01-01,30146
2006-01-01,29380
2007-01-01,33497
2008-01-01,33272
2009-01-01,32635
2010-01-01,33198
2011-01-01,31892
2012-01-01,33650
2013-01-01,34777
2014-01-01,33698
2015-01-01,37536
2016-01-01,34587
2017-01-01,37723
2018-01-01,39533
2019-01-01,43601
2020-01-01,45989
