DATE,ENU4822520510
1990-01-01,495
1990-04-01,488
1990-07-01,495
1990-10-01,495
1991-01-01,481
1991-04-01,481
1991-07-01,470
1991-10-01,463
1992-01-01,433
1992-04-01,431
1992-07-01,423
1992-10-01,456
1993-01-01,446
1993-04-01,460
1993-07-01,464
1993-10-01,467
1994-01-01,414
1994-04-01,438
1994-07-01,450
1994-10-01,478
1995-01-01,483
1995-04-01,477
1995-07-01,475
1995-10-01,495
1996-01-01,483
1996-04-01,489
1996-07-01,486
1996-10-01,494
1997-01-01,501
1997-04-01,505
1997-07-01,541
1997-10-01,545
1998-01-01,552
1998-04-01,570
1998-07-01,586
1998-10-01,602
1999-01-01,623
1999-04-01,635
1999-07-01,661
1999-10-01,693
2000-01-01,708
2000-04-01,730
2000-07-01,747
2000-10-01,752
2001-01-01,776
2001-04-01,762
2001-07-01,762
2001-10-01,735
2002-01-01,693
2002-04-01,689
2002-07-01,689
2002-10-01,707
2003-01-01,682
2003-04-01,682
2003-07-01,680
2003-10-01,678
2004-01-01,663
2004-04-01,677
2004-07-01,689
2004-10-01,683
2005-01-01,528
2005-04-01,524
2005-07-01,536
2005-10-01,527
2006-01-01,522
2006-04-01,527
2006-07-01,527
2006-10-01,530
2007-01-01,558
2007-04-01,551
2007-07-01,570
2007-10-01,570
2008-01-01,533
2008-04-01,543
2008-07-01,548
2008-10-01,541
2009-01-01,510
2009-04-01,501
2009-07-01,514
2009-10-01,512
2010-01-01,537
2010-04-01,550
2010-07-01,547
2010-10-01,561
2011-01-01,536
2011-04-01,568
2011-07-01,576
2011-10-01,591
2012-01-01,585
2012-04-01,587
2012-07-01,581
2012-10-01,586
2013-01-01,568
2013-04-01,560
2013-07-01,566
2013-10-01,571
2014-01-01,573
2014-04-01,571
2014-07-01,574
2014-10-01,589
2015-01-01,569
2015-04-01,572
2015-07-01,571
2015-10-01,565
2016-01-01,631
2016-04-01,634
2016-07-01,662
2016-10-01,678
2017-01-01,721
2017-04-01,748
2017-07-01,768
2017-10-01,788
2018-01-01,802
2018-04-01,816
2018-07-01,834
2018-10-01,862
2019-01-01,861
2019-04-01,863
2019-07-01,876
2019-10-01,867
2020-01-01,860
2020-04-01,863
2020-07-01,878
2020-10-01,896
2021-01-01,878
2021-04-01,873
