DATE,Population
1/1/1970,17.855
1/1/1971,18.6
1/1/1972,19.2
1/1/1973,18.9
1/1/1974,18.7
1/1/1975,18.9
1/1/1976,19.3
1/1/1977,19.9
1/1/1978,20.7
1/1/1979,21.5
1/1/1980,22.299
1/1/1981,22.641
1/1/1982,22.509
1/1/1983,22.441
1/1/1984,21.664
1/1/1985,21.723
1/1/1986,21.733
1/1/1987,21.959
1/1/1988,21.728
1/1/1989,21.63
1/1/1990,21.347
1/1/1991,21.563
1/1/1992,21.705
1/1/1993,21.982
1/1/1994,22.192
1/1/1995,22.322
1/1/1996,22.202
1/1/1997,22.406
1/1/1998,22.738
1/1/1999,23.085
1/1/2000,23.115
1/1/2001,22.969
1/1/2002,22.971
1/1/2003,22.904
1/1/2004,23.004
1/1/2005,22.786
1/1/2006,22.702
1/1/2007,22.644
1/1/2008,22.521
1/1/2009,22.426
1/1/2010,23.683
1/1/2011,23.433
1/1/2012,23.212
1/1/2013,22.806
1/1/2014,22.807
1/1/2015,22.743
1/1/2016,22.892
1/1/2017,23.073
1/1/2018,23.033
1/1/2019,22.877
1/1/2020,22.835
