DATE,ATNHPIUS48201A
1/1/1975,39.08
1/1/1976,45.29
1/1/1977,52.53
1/1/1978,58.96
1/1/1979,67.19
1/1/1980,73.64
1/1/1981,78.87
1/1/1982,87.68
1/1/1983,86.75
1/1/1984,83.11
1/1/1985,76.12
1/1/1986,72.88
1/1/1987,67.53
1/1/1988,67.09
1/1/1989,71.18
1/1/1990,73.99
1/1/1991,76.26
1/1/1992,78.42
1/1/1993,79.27
1/1/1994,78.96
1/1/1995,78.21
1/1/1996,79.92
1/1/1997,81.58
1/1/1998,86.56
1/1/1999,92.34
1/1/2000,100
1/1/2001,106.08
1/1/2002,110.39
1/1/2003,113.49
1/1/2004,117.15
1/1/2005,121.9
1/1/2006,128.58
1/1/2007,135.19
1/1/2008,138.38
1/1/2009,139.13
1/1/2010,137.76
1/1/2011,136.19
1/1/2012,139.33
1/1/2013,148.64
1/1/2014,167.8
1/1/2015,180.79
1/1/2016,185.44
1/1/2017,191.77
1/1/2018,199.69
1/1/2019,205.31
1/1/2020,210.13
