DATE,ATNHPIUS36047A
1975-01-01,18.81
1976-01-01,18.52
1977-01-01,20.08
1978-01-01,20.91
1979-01-01,21.52
1980-01-01,22.97
1981-01-01,26.43
1982-01-01,29.88
1983-01-01,33.41
1984-01-01,38.83
1985-01-01,48.03
1986-01-01,58.00
1987-01-01,68.84
1988-01-01,77.21
1989-01-01,77.60
1990-01-01,76.08
1991-01-01,73.08
1992-01-01,73.32
1993-01-01,72.50
1994-01-01,73.01
1995-01-01,73.44
1996-01-01,74.82
1997-01-01,76.82
1998-01-01,81.29
1999-01-01,88.20
2000-01-01,100.00
2001-01-01,110.50
2002-01-01,120.44
2003-01-01,130.78
2004-01-01,150.49
2005-01-01,179.55
2006-01-01,201.33
2007-01-01,210.95
2008-01-01,207.09
2009-01-01,194.42
2010-01-01,189.96
2011-01-01,189.51
2012-01-01,191.23
2013-01-01,196.48
2014-01-01,207.33
2015-01-01,226.26
2016-01-01,245.00
2017-01-01,264.18
2018-01-01,281.56
2019-01-01,293.96
2020-01-01,298.08
