DATE,MHINY36047A052NCEN
1989-01-01,21968
1990-01-01,.
1991-01-01,.
1992-01-01,.
1993-01-01,24122
1994-01-01,.
1995-01-01,24034
1996-01-01,.
1997-01-01,26108
1998-01-01,27556
1999-01-01,28582
2000-01-01,30302
2001-01-01,29765
2002-01-01,29961
2003-01-01,30672
2004-01-01,32339
2005-01-01,37098
2006-01-01,40266
2007-01-01,41304
2008-01-01,43172
2009-01-01,42932
2010-01-01,42047
2011-01-01,42437
2012-01-01,44850
2013-01-01,47067
2014-01-01,47547
2015-01-01,51026
2016-01-01,54793
2017-01-01,56548
2018-01-01,60862
2019-01-01,66501
2020-01-01,70390
