DATE,BPPRIV036047
1990-01-01,1634
1991-01-01,1024
1992-01-01,646
1993-01-01,1016
1994-01-01,911
1995-01-01,943
1996-01-01,942
1997-01-01,1063
1998-01-01,1787
1999-01-01,2894
2000-01-01,2904
2001-01-01,2973
2002-01-01,5247
2003-01-01,6054
2004-01-01,6825
2005-01-01,9028
2006-01-01,9191
2007-01-01,10930
2008-01-01,12744
2009-01-01,1003
2010-01-01,2093
2011-01-01,1522
2012-01-01,3353
2013-01-01,6140
2014-01-01,7551
2015-01-01,26026
2016-01-01,4503.0
2017-01-01,6130.0
2018-01-01,8445.0
2019-01-01,9696.0
2020-01-01,6802.0
