DATE,BPPRIV012033
1990-01-01,1093
1991-01-01,1103
1992-01-01,1749
1993-01-01,1416
1994-01-01,1507
1995-01-01,1784
1996-01-01,3088
1997-01-01,2088
1998-01-01,2028
1999-01-01,1926
2000-01-01,1455
2001-01-01,1475
2002-01-01,2067
2003-01-01,2942
2004-01-01,2613
2005-01-01,2602
2006-01-01,1884
2007-01-01,1757
2008-01-01,742
2009-01-01,594
2010-01-01,973
2011-01-01,638
2012-01-01,655
2013-01-01,830
2014-01-01,698
2015-01-01,1392
2016-01-01,1456.0
2017-01-01,1073.0
2018-01-01,1055.0
2019-01-01,1671.0
2020-01-01,2210.0
