DATE,ENU1208620510
1990-01-01,56991
1990-04-01,57055
1990-07-01,57581
1990-10-01,57241
1991-01-01,58313
1991-04-01,58575
1991-07-01,58924
1991-10-01,58706
1992-01-01,59659
1992-04-01,60261
1992-07-01,60360
1992-10-01,61085
1993-01-01,61883
1993-04-01,62704
1993-07-01,63142
1993-10-01,63294
1994-01-01,63446
1994-04-01,63739
1994-07-01,63922
1994-10-01,63860
1995-01-01,64387
1995-04-01,64145
1995-07-01,64705
1995-10-01,65105
1996-01-01,65766
1996-04-01,66018
1996-07-01,65548
1996-10-01,66234
1997-01-01,66351
1997-04-01,66348
1997-07-01,68479
1997-10-01,68780
1998-01-01,70845
1998-04-01,71021
1998-07-01,70692
1998-10-01,71260
1999-01-01,68366
1999-04-01,71084
1999-07-01,70483
1999-10-01,70531
2000-01-01,70963
2000-04-01,71953
2000-07-01,71092
2000-10-01,71084
2001-01-01,71115
2001-04-01,71977
2001-07-01,72787
2001-10-01,73603
2002-01-01,74276
2002-04-01,75350
2002-07-01,75309
2002-10-01,76507
2003-01-01,77414
2003-04-01,78487
2003-07-01,79099
2003-10-01,79757
2004-01-01,80530
2004-04-01,81438
2004-07-01,82060
2004-10-01,82763
2005-01-01,83256
2005-04-01,83278
2005-07-01,82815
2005-10-01,83655
2006-01-01,82634
2006-04-01,82914
2006-07-01,83150
2006-10-01,83785
2007-01-01,84475
2007-04-01,84863
2007-07-01,85984
2007-10-01,86586
2008-01-01,87556
2008-04-01,86808
2008-07-01,86537
2008-10-01,85528
2009-01-01,83066
2009-04-01,82627
2009-07-01,83622
2009-10-01,84141
2010-01-01,83870
2010-04-01,84765
2010-07-01,83848
2010-10-01,84811
2011-01-01,84637
2011-04-01,85346
2011-07-01,85924
2011-10-01,87401
2012-01-01,87864
2012-04-01,88234
2012-07-01,89309
2012-10-01,90750
2013-01-01,91679
2013-04-01,92102
2013-07-01,92551
2013-10-01,93904
2014-01-01,92242
2014-04-01,92824
2014-07-01,93360
2014-10-01,94678
2015-01-01,95182
2015-04-01,91361
2015-07-01,92269
2015-10-01,93959
2016-01-01,93867
2016-04-01,94610
2016-07-01,95587
2016-10-01,96548
2017-01-01,95677
2017-04-01,97032
2017-07-01,96448
2017-10-01,97844
2018-01-01,97904
2018-04-01,98392
2018-07-01,98446
2018-10-01,99982
2019-01-01,100482
2019-04-01,100846
2019-07-01,102110
2019-10-01,103078
2020-01-01,103754
2020-04-01,105298
2020-07-01,107838
2020-10-01,109212
2021-01-01,110069
2021-04-01,111810
