DATE,NEWO322BPPRIV
1988-01-01,155
1988-02-01,163
1988-03-01,212
1988-04-01,231
1988-05-01,212
1988-06-01,263
1988-07-01,281
1988-08-01,167
1988-09-01,466
1988-10-01,168
1988-11-01,137
1988-12-01,198
1989-01-01,181
1989-02-01,273
1989-03-01,224
1989-04-01,169
1989-05-01,184
1989-06-01,270
1989-07-01,145
1989-08-01,179
1989-09-01,150
1989-10-01,160
1989-11-01,170
1989-12-01,255
1990-01-01,161
1990-02-01,141
1990-03-01,176
1990-04-01,132
1990-05-01,259
1990-06-01,158
1990-07-01,162
1990-08-01,147
1990-09-01,135
1990-10-01,143
1990-11-01,159
1990-12-01,297
1991-01-01,98
1991-02-01,149
1991-03-01,156
1991-04-01,210
1991-05-01,209
1991-06-01,197
1991-07-01,230
1991-08-01,176
1991-09-01,297
1991-10-01,273
1991-11-01,149
1991-12-01,178
1992-01-01,287
1992-02-01,177
1992-03-01,397
1992-04-01,282
1992-05-01,301
1992-06-01,310
1992-07-01,263
1992-08-01,213
1992-09-01,262
1992-10-01,298
1992-11-01,216
1992-12-01,231
1993-01-01,249
1993-02-01,247
1993-03-01,316
1993-04-01,271
1993-05-01,259
1993-06-01,326
1993-07-01,271
1993-08-01,321
1993-09-01,499
1993-10-01,303
1993-11-01,259
1993-12-01,265
1994-01-01,315
1994-02-01,347
1994-03-01,426
1994-04-01,336
1994-05-01,340
1994-06-01,335
1994-07-01,269
1994-08-01,581
1994-09-01,269
1994-10-01,333
1994-11-01,263
1994-12-01,213
1995-01-01,241
1995-02-01,264
1995-03-01,321
1995-04-01,270
1995-05-01,362
1995-06-01,517
1995-07-01,261
1995-08-01,324
1995-09-01,462
1995-10-01,261
1995-11-01,204
1995-12-01,196
1996-01-01,714
1996-02-01,268
1996-03-01,375
1996-04-01,344
1996-05-01,370
1996-06-01,465
1996-07-01,239
1996-08-01,241
1996-09-01,301
1996-10-01,293
1996-11-01,559
1996-12-01,218
1997-01-01,238
1997-02-01,254
1997-03-01,281
1997-04-01,466
1997-05-01,277
1997-06-01,511
1997-07-01,298
1997-08-01,186
1997-09-01,279
1997-10-01,276
1997-11-01,228
1997-12-01,261
1998-01-01,207
1998-02-01,241
1998-03-01,343
1998-04-01,585
1998-05-01,363
1998-06-01,346
1998-07-01,290
1998-08-01,291
1998-09-01,216
1998-10-01,300
1998-11-01,231
1998-12-01,271
1999-01-01,256
1999-02-01,352
1999-03-01,326
1999-04-01,356
1999-05-01,340
1999-06-01,335
1999-07-01,1065
1999-08-01,369
1999-09-01,303
1999-10-01,253
1999-11-01,263
1999-12-01,189
2000-01-01,259
2000-02-01,306
2000-03-01,334
2000-04-01,320
2000-05-01,330
2000-06-01,334
2000-07-01,302
2000-08-01,276
2000-09-01,389
2000-10-01,321
2000-11-01,220
2000-12-01,318
2001-01-01,504
2001-02-01,246
2001-03-01,269
2001-04-01,279
2001-05-01,296
2001-06-01,306
2001-07-01,348
2001-08-01,295
2001-09-01,292
2001-10-01,482
2001-11-01,237
2001-12-01,269
2002-01-01,319
2002-02-01,339
2002-03-01,308
2002-04-01,359
2002-05-01,376
2002-06-01,323
2002-07-01,746
2002-08-01,646
2002-09-01,338
2002-10-01,336
2002-11-01,278
2002-12-01,322
2003-01-01,377
2003-02-01,374
2003-03-01,357
2003-04-01,411
2003-05-01,432
2003-06-01,954
2003-07-01,444
2003-08-01,368
2003-09-01,458
2003-10-01,491
2003-11-01,447
2003-12-01,417
2004-01-01,413
2004-02-01,528
2004-03-01,625
2004-04-01,651
2004-05-01,550
2004-06-01,551
2004-07-01,553
2004-08-01,487
2004-09-01,421
2004-10-01,584
2004-11-01,521
2004-12-01,529
2005-01-01,707
2005-02-01,421
2005-03-01,457
2005-04-01,441
2005-05-01,426
2005-06-01,560
2005-07-01,449
2005-08-01,668
2005-09-01,76
2005-10-01,93
2005-11-01,80
2005-12-01,156
2006-01-01,89
2006-02-01,378
2006-03-01,547
2006-04-01,389
2006-05-01,416
2006-06-01,442
2006-07-01,360
2006-08-01,584
2006-09-01,448
2006-10-01,645
2006-11-01,463
2006-12-01,638
2007-01-01,725
2007-02-01,290
2007-03-01,388
2007-04-01,687
2007-05-01,598
2007-06-01,1108
2007-07-01,646
2007-08-01,436
2007-09-01,733
2007-10-01,364
2007-11-01,428
2007-12-01,462
2008-01-01,658
2008-02-01,480
2008-03-01,434
2008-04-01,294
2008-05-01,536
2008-06-01,263
2008-07-01,341
2008-08-01,258
2008-09-01,852
2008-10-01,289
2008-11-01,131
2008-12-01,198
2009-01-01,204
2009-02-01,383
2009-03-01,230
2009-04-01,207
2009-05-01,273
2009-06-01,200
2009-07-01,250
2009-08-01,232
2009-09-01,254
2009-10-01,250
2009-11-01,135
2009-12-01,194
2010-01-01,150
2010-02-01,130
2010-03-01,174
2010-04-01,225
2010-05-01,127
2010-06-01,140
2010-07-01,139
2010-08-01,197
2010-09-01,255
2010-10-01,196
2010-11-01,199
2010-12-01,254
2011-01-01,141
2011-02-01,202
2011-03-01,225
2011-04-01,196
2011-05-01,221
2011-06-01,279
2011-07-01,171
2011-08-01,190
2011-09-01,169
2011-10-01,155
2011-11-01,173
2011-12-01,197
2012-01-01,182
2012-02-01,157
2012-03-01,176
2012-04-01,237
2012-05-01,194
2012-06-01,184
2012-07-01,193
2012-08-01,265
2012-09-01,200
2012-10-01,232
2012-11-01,215
2012-12-01,159
2013-01-01,215
2013-02-01,269
2013-03-01,260
2013-04-01,264
2013-05-01,253
2013-06-01,234
2013-07-01,228
2013-08-01,268
2013-09-01,173
2013-10-01,231
2013-11-01,176
2013-12-01,160
2014-01-01,214
2014-02-01,238
2014-03-01,214
2014-04-01,242
2014-05-01,220
2014-06-01,269
2014-07-01,243
2014-08-01,409
2014-09-01,198
2014-10-01,195
2014-11-01,167
2014-12-01,191
2015-01-01,222
2015-02-01,237
2015-03-01,194
2015-04-01,185
2015-05-01,237
2015-06-01,289
2015-07-01,261
2015-08-01,140
2015-09-01,251
2015-10-01,190
2015-11-01,150
2015-12-01,235
2016-01-01,164
2016-02-01,233
2016-03-01,274
2016-04-01,213
2016-05-01,239
2016-06-01,279
2016-07-01,245
2016-08-01,461
2016-09-01,230
2016-10-01,192
2016-11-01,168
2016-12-01,212
2017-01-01,243
2017-02-01,197
2017-03-01,240
2017-04-01,249
2017-05-01,236
2017-06-01,285
2017-07-01,220
2017-08-01,283
2017-09-01,245
2017-10-01,288
2017-11-01,221
2017-12-01,195
2018-01-01,268
2018-02-01,231
2018-03-01,312
2018-04-01,274.0
2018-05-01,286.0
2018-06-01,312.0
2018-07-01,244.0
2018-08-01,275.0
2018-09-01,239.0
2018-10-01,296.0
2018-11-01,218.0
2018-12-01,220.0
2019-01-01,276.0
2019-02-01,290.0
2019-03-01,295.0
2019-04-01,253.0
2019-05-01,257.0
2019-06-01,308.0
2019-07-01,367.0
2019-08-01,406.0
2019-09-01,344.0
2019-10-01,360.0
2019-11-01,285.0
2019-12-01,299.0
2020-01-01,377.0
2020-02-01,292.0
2020-03-01,359.0
2020-04-01,283.0
2020-05-01,320.0
2020-06-01,544.0
2020-07-01,376.0
2020-08-01,369.0
2020-09-01,358.0
2020-10-01,408.0
2020-11-01,337.0
2020-12-01,387.0
2021-01-01,460.0
2021-02-01,372.0
2021-03-01,466.0
2021-04-01,889.0
2021-05-01,415.0
