DATE,ATNHPIUS12095A
1975-01-01,27.85
1976-01-01,28.41
1977-01-01,29.79
1978-01-01,34.87
1979-01-01,41.83
1980-01-01,48.85
1981-01-01,53.83
1982-01-01,57.15
1983-01-01,61.62
1984-01-01,64.07
1985-01-01,66.11
1986-01-01,67.77
1987-01-01,69.66
1988-01-01,72.61
1989-01-01,76.02
1990-01-01,77.65
1991-01-01,78.59
1992-01-01,80.00
1993-01-01,80.57
1994-01-01,80.42
1995-01-01,81.36
1996-01-01,83.14
1997-01-01,85.36
1998-01-01,88.71
1999-01-01,92.13
2000-01-01,100.00
2001-01-01,107.95
2002-01-01,115.57
2003-01-01,122.65
2004-01-01,137.18
2005-01-01,173.18
2006-01-01,208.92
2007-01-01,208.86
2008-01-01,180.19
2009-01-01,144.84
2010-01-01,124.49
2011-01-01,113.79
2012-01-01,112.69
2013-01-01,123.77
2014-01-01,139.06
2015-01-01,149.80
2016-01-01,162.78
2017-01-01,177.50
2018-01-01,193.06
2019-01-01,203.27
2020-01-01,212.11
