DATE,MHINY36081A052NCEN
1989-01-01,30900
1990-01-01,.
1991-01-01,.
1992-01-01,.
1993-01-01,31970
1994-01-01,.
1995-01-01,34115
1996-01-01,.
1997-01-01,35820
1998-01-01,36480
1999-01-01,37391
2000-01-01,39478
2001-01-01,38011
2002-01-01,37876
2003-01-01,38041
2004-01-01,39649
2005-01-01,47486
2006-01-01,51024
2007-01-01,52944
2008-01-01,55599
2009-01-01,54671
2010-01-01,52486
2011-01-01,53124
2012-01-01,54373
2013-01-01,56307
2014-01-01,56866
2015-01-01,60241
2016-01-01,61844
2017-01-01,64046
2018-01-01,68432
2019-01-01,72975
2020-01-01,78847
