DATE,BPPRIV036081
1990-01-01,704
1991-01-01,602
1992-01-01,351
1993-01-01,531
1994-01-01,560
1995-01-01,738
1996-01-01,1301
1997-01-01,1144
1998-01-01,1446
1999-01-01,2169
2000-01-01,2723
2001-01-01,3264
2002-01-01,3464
2003-01-01,4399
2004-01-01,6853
2005-01-01,7269
2006-01-01,7252
2007-01-01,7625
2008-01-01,7730
2009-01-01,1474
2010-01-01,2358
2011-01-01,3182
2012-01-01,1428
2013-01-01,3161
2014-01-01,4900
2015-01-01,12667
2016-01-01,2849.0
2017-01-01,5104.0
2018-01-01,4577.0
2019-01-01,5137.0
2020-01-01,5840.0
