DATE,ATNHPIUS36081A
1975-01-01,22.39
1976-01-01,18.53
1977-01-01,19.09
1978-01-01,20.20
1979-01-01,22.60
1980-01-01,24.36
1981-01-01,27.53
1982-01-01,30.15
1983-01-01,33.45
1984-01-01,38.95
1985-01-01,47.21
1986-01-01,59.15
1987-01-01,67.43
1988-01-01,75.24
1989-01-01,76.81
1990-01-01,75.13
1991-01-01,72.85
1992-01-01,72.47
1993-01-01,71.71
1994-01-01,72.07
1995-01-01,72.71
1996-01-01,74.45
1997-01-01,76.20
1998-01-01,80.22
1999-01-01,86.92
2000-01-01,100.00
2001-01-01,110.17
2002-01-01,120.92
2003-01-01,133.86
2004-01-01,154.13
2005-01-01,183.21
2006-01-01,205.55
2007-01-01,213.84
2008-01-01,204.58
2009-01-01,186.49
2010-01-01,182.52
2011-01-01,180.13
2012-01-01,178.48
2013-01-01,182.81
2014-01-01,197.47
2015-01-01,209.38
2016-01-01,227.30
2017-01-01,243.51
2018-01-01,261.16
2019-01-01,272.94
2020-01-01,278.97
