DATE,ATNHPIUS36085A
1975-01-01,22.19
1976-01-01,21.48
1977-01-01,22.16
1978-01-01,24.44
1979-01-01,26.68
1980-01-01,31.45
1981-01-01,35.53
1982-01-01,36.33
1983-01-01,38.06
1984-01-01,44.60
1985-01-01,51.30
1986-01-01,60.83
1987-01-01,73.27
1988-01-01,82.55
1989-01-01,81.21
1990-01-01,77.18
1991-01-01,73.85
1992-01-01,74.11
1993-01-01,73.12
1994-01-01,73.31
1995-01-01,73.46
1996-01-01,75.31
1997-01-01,76.39
1998-01-01,80.14
1999-01-01,86.78
2000-01-01,100.00
2001-01-01,111.68
2002-01-01,122.90
2003-01-01,133.42
2004-01-01,152.96
2005-01-01,176.66
2006-01-01,190.23
2007-01-01,191.17
2008-01-01,184.59
2009-01-01,174.78
2010-01-01,170.74
2011-01-01,170.27
2012-01-01,167.69
2013-01-01,169.33
2014-01-01,174.31
2015-01-01,180.70
2016-01-01,191.76
2017-01-01,212.97
2018-01-01,230.60
2019-01-01,236.27
2020-01-01,240.02
