DATE,MHINY36085A052NCEN
1989-01-01,41331
1990-01-01,.
1991-01-01,.
1992-01-01,.
1993-01-01,44175
1994-01-01,.
1995-01-01,48489
1996-01-01,.
1997-01-01,51141
1998-01-01,51794
1999-01-01,51096
2000-01-01,54057
2001-01-01,51967
2002-01-01,52987
2003-01-01,54252
2004-01-01,56519
2005-01-01,62279
2006-01-01,67290
2007-01-01,66384
2008-01-01,72557
2009-01-01,65388
2010-01-01,69163
2011-01-01,69436
2012-01-01,70295
2013-01-01,68621
2014-01-01,70299
2015-01-01,71058
2016-01-01,75524
2017-01-01,78466
2018-01-01,79719
2019-01-01,86624
2020-01-01,81003
