DATE,BPPRIV036085
1990-01-01,940
1991-01-01,1224
1992-01-01,1255
1993-01-01,1185
1994-01-01,1265
1995-01-01,1472
1996-01-01,2155
1997-01-01,1857
1998-01-01,2022
1999-01-01,2414
2000-01-01,2667
2001-01-01,2294
2002-01-01,1756
2003-01-01,2598
2004-01-01,2051
2005-01-01,1872
2006-01-01,1036
2007-01-01,739
2008-01-01,1255
2009-01-01,570
2010-01-01,508
2011-01-01,581
2012-01-01,673
2013-01-01,1200
2014-01-01,712
2015-01-01,541
2016-01-01,901.0
2017-01-01,685.0
2018-01-01,606.0
2019-01-01,661.0
2020-01-01,408.0
