DATE,ATNHPIUS35380Q
1977-04-01,48.77
1977-07-01,47.35
1977-10-01,53.55
1978-01-01,55.29
1978-04-01,56.38
1978-07-01,58.99
1978-10-01,62.1
1979-01-01,68.24
1979-04-01,72.38
1979-07-01,73
1979-10-01,75.11
1980-01-01,78.25
1980-04-01,80.21
1980-07-01,75.44
1980-10-01,76.86
1981-01-01,80.54
1981-04-01,84.6
1981-07-01,87.31
1981-10-01,85.48
1982-01-01,84.29
1982-04-01,84.09
1982-07-01,84.45
1982-10-01,85.41
1983-01-01,84.83
1983-04-01,87.01
1983-07-01,86.86
1983-10-01,89.15
1984-01-01,88.9
1984-04-01,89.81
1984-07-01,90.54
1984-10-01,89.11
1985-01-01,86.15
1985-04-01,89.21
1985-07-01,87.95
1985-10-01,86.24
1986-01-01,89.03
1986-04-01,90.14
1986-07-01,88.5
1986-10-01,87.73
1987-01-01,87.72
1987-04-01,88.24
1987-07-01,83.74
1987-10-01,84.44
1988-01-01,83.01
1988-04-01,81.91
1988-07-01,81.32
1988-10-01,80.02
1989-01-01,81.52
1989-04-01,80.25
1989-07-01,81.81
1989-10-01,79.97
1990-01-01,80.52
1990-04-01,80.07
1990-07-01,80.71
1990-10-01,81.34
1991-01-01,79.69
1991-04-01,82.46
1991-07-01,83.04
1991-10-01,84.7
1992-01-01,86.25
1992-04-01,86.82
1992-07-01,88.25
1992-10-01,89.01
1993-01-01,89.77
1993-04-01,91.59
1993-07-01,93.25
1993-10-01,94.82
1994-01-01,96.67
1994-04-01,98.46
1994-07-01,98.94
1994-10-01,98.62
1995-01-01,100.00
1995-04-01,102.36
1995-07-01,103.86
1995-10-01,105.43
1996-01-01,107.49
1996-04-01,108.53
1996-07-01,109.32
1996-10-01,111.23
1997-01-01,112.1
1997-04-01,112.87
1997-07-01,114.74
1997-10-01,116.8
1998-01-01,118.22
1998-04-01,119.01
1998-07-01,121.41
1998-10-01,122.67
1999-01-01,124
1999-04-01,125.24
1999-07-01,125.78
1999-10-01,125.91
2000-01-01,128.47
2000-04-01,129.07
2000-07-01,130.72
2000-10-01,131.93
2001-01-01,135.93
2001-04-01,137.86
2001-07-01,138.83
2001-10-01,140.62
2002-01-01,141.37
2002-04-01,142.99
2002-07-01,145.63
2002-10-01,147.94
2003-01-01,149.77
2003-04-01,151.78
2003-07-01,153.65
2003-10-01,157.23
2004-01-01,159.2
2004-04-01,162.83
2004-07-01,166.65
2004-10-01,169.85
2005-01-01,171.52
2005-04-01,175.7
2005-07-01,179.88
2005-10-01,188.05
2006-01-01,194.75
2006-04-01,200.33
2006-07-01,204.19
2006-10-01,207.73
2007-01-01,209.08
2007-04-01,208.35
2007-07-01,207.69
2007-10-01,205.91
2008-01-01,206.17
2008-04-01,203.67
2008-07-01,199.33
2008-10-01,199.7
2009-01-01,201.62
2009-04-01,199.18
2009-07-01,194.74
2009-10-01,192.91
2010-01-01,191.49
2010-04-01,188.22
2010-07-01,191.29
2010-10-01,190.51
2011-01-01,188.35
2011-04-01,186.26
2011-07-01,187.25
2011-10-01,189.14
2012-01-01,188.93
2012-04-01,189.33
2012-07-01,192.1
2012-10-01,191.28
2013-01-01,192.02
2013-04-01,194.3
2013-07-01,195.76
2013-10-01,194.53
2014-01-01,194.73
2014-04-01,197.23
2014-07-01,201.31
2014-10-01,201.75
2015-01-01,206.61
2015-04-01,208.13
2015-07-01,211.25
2015-10-01,212.15
2016-01-01,215.85
2016-04-01,219.55
2016-07-01,222.64
2016-10-01,222.83
2017-01-01,221.37
2017-04-01,225.18
2017-07-01,228.74
2017-10-01,229.05
2018-01-01,229.82
2018-04-01,230.72
2018-07-01,233.91
2018-10-01,233.21
2019-01-01,237.16
2019-04-01,240.18
2019-07-01,242.26
2019-10-01,245.64
2020-01-01,247.72
2020-04-01,250.58
2020-07-01,253.41
2020-10-01,258.59
2021-01-01,261.67
2021-04-01,271.01
2021-07-01,281.68
