DATE,ATNHPIUS36140Q
1985-10-01,67.97
1986-01-01,69.01
1986-04-01,69.85
1986-07-01,72.44
1986-10-01,72.92
1987-01-01,79.23
1987-04-01,80.21
1987-07-01,81.72
1987-10-01,85.15
1988-01-01,85.77
1988-04-01,93.9
1988-07-01,92.44
1988-10-01,97.41
1989-01-01,95.38
1989-04-01,102.48
1989-07-01,103.73
1989-10-01,105.3
1990-01-01,103.99
1990-04-01,104.07
1990-07-01,105.25
1990-10-01,102.84
1991-01-01,101.34
1991-04-01,103.84
1991-07-01,103.48
1991-10-01,105.54
1992-01-01,106.57
1992-04-01,104.58
1992-07-01,102.97
1992-10-01,106.42
1993-01-01,104.58
1993-04-01,105.96
1993-07-01,106.55
1993-10-01,105.55
1994-01-01,107.83
1994-04-01,106.27
1994-07-01,101.65
1994-10-01,103.97
1995-01-01,100.00
1995-04-01,102.66
1995-07-01,105.46
1995-10-01,103.69
1996-01-01,107.57
1996-04-01,106.39
1996-07-01,106.23
1996-10-01,104.82
1997-01-01,107.09
1997-04-01,107.27
1997-07-01,110.07
1997-10-01,110.15
1998-01-01,112.48
1998-04-01,115.79
1998-07-01,114.99
1998-10-01,116.02
1999-01-01,117.4
1999-04-01,120.91
1999-07-01,124.38
1999-10-01,132.03
2000-01-01,134.44
2000-04-01,139.02
2000-07-01,143.61
2000-10-01,148.21
2001-01-01,152.11
2001-04-01,157
2001-07-01,161.26
2001-10-01,166.33
2002-01-01,173.62
2002-04-01,177.54
2002-07-01,183.94
2002-10-01,190.71
2003-01-01,193.35
2003-04-01,198.4
2003-07-01,206.51
2003-10-01,226.9
2004-01-01,229.63
2004-04-01,240.68
2004-07-01,258.46
2004-10-01,270.66
2005-01-01,284.14
2005-04-01,298.96
2005-07-01,305.63
2005-10-01,316.64
2006-01-01,324.35
2006-04-01,332.69
2006-07-01,330.65
2006-10-01,335.38
2007-01-01,330.75
2007-04-01,326.19
2007-07-01,323.44
2007-10-01,316.52
2008-01-01,321.2
2008-04-01,309.67
2008-07-01,298.47
2008-10-01,301.08
2009-01-01,302.8
2009-04-01,289.37
2009-07-01,282.83
2009-10-01,281.66
2010-01-01,273.72
2010-04-01,278.25
2010-07-01,278.38
2010-10-01,277.12
2011-01-01,269.48
2011-04-01,266.14
2011-07-01,259.78
2011-10-01,265.04
2012-01-01,263.97
2012-04-01,255.47
2012-07-01,260.7
2012-10-01,262.89
2013-01-01,267.67
2013-04-01,261.91
2013-07-01,250.16
2013-10-01,255.89
2014-01-01,254.13
2014-04-01,255.67
2014-07-01,259.46
2014-10-01,256.41
2015-01-01,266.36
2015-04-01,267.58
2015-07-01,258.63
2015-10-01,259.45
2016-01-01,264.85
2016-04-01,266.3
2016-07-01,263.88
2016-10-01,266.73
2017-01-01,267.99
2017-04-01,274.56
2017-07-01,278.01
2017-10-01,272.4
2018-01-01,277.03
2018-04-01,287.16
2018-07-01,282.32
2018-10-01,288.91
2019-01-01,293.81
2019-04-01,298.92
2019-07-01,306.69
2019-10-01,308.25
2020-01-01,313.72
2020-04-01,318.68
2020-07-01,324.5
2020-10-01,333.61
2021-01-01,350.78
2021-04-01,368.41
2021-07-01,391.83
