DATE,FLESCA0POP
1970-01-01,205.334
1971-01-01,211.100
1972-01-01,217.900
1973-01-01,219.100
1974-01-01,221.600
1975-01-01,227.500
1976-01-01,231.700
1977-01-01,233.500
1978-01-01,232.900
1979-01-01,233.700
1980-01-01,233.794
1981-01-01,240.526
1982-01-01,243.310
1983-01-01,249.587
1984-01-01,250.128
1985-01-01,253.383
1986-01-01,257.751
1987-01-01,261.999
1988-01-01,258.229
1989-01-01,262.567
1990-01-01,263.272
1991-01-01,267.643
1992-01-01,272.468
1993-01-01,274.035
1994-01-01,276.154
1995-01-01,278.323
1996-01-01,282.606
1997-01-01,289.505
1998-01-01,295.243
1999-01-01,293.956
2000-01-01,294.930
2001-01-01,298.520
2002-01-01,298.822
2003-01-01,298.309
2004-01-01,299.816
2005-01-01,300.237
2006-01-01,302.904
2007-01-01,299.911
2008-01-01,300.105
2009-01-01,300.777
2010-01-01,298.069
2011-01-01,299.478
2012-01-01,303.556
2013-01-01,306.879
2014-01-01,308.2
2015-01-01,309.63
2016-01-01,311.975
2017-01-01,313.882
2018-01-01,315.857
2019-01-01,319.379
2020-01-01,322.364
